rat	human
678880	441518
679038	441518
171109	1847
207118	259282
306424	9848
499724	148423
683788	25794
303741	25794
302808	79683
302808	79683
499014	79683
499014	79683
308516	85415
25637	5731
293408	10767
79127	1633
300635	390264
294210	10107
309586	10107
83837	25805
361005	118487
311968	55904
114589	53942
116658	53942
27256	53942
54279	53942
497944	124961
365228	2866
362368	79017
252959	56171
252959	56171
252893	56171
117249	56171
310512	51068
689176	169200
363544	23059
499349	143282
140938	29893
688637	134430
295401	9890
299266	51676
100909439	51676
24330	1958
360564	30851
291526	11201
309629	10471
100359692	85236
303175	85236
691488	85236
680258	171392
108348166	27152
25116	3290
299194	145482
24413	2908
313593	192669
287082	4992
405148	4992
363549	4992
287086	4992
287000	4992
287093	4992
405333	4992
287090	4992
302958	4992
287088	4992
363710	4992
287077	4992
287081	4992
100912159	4992
405335	4992
305354	10333
305353	10333
24716	5979
498002	10284
290284	10284
295496	93587
361537	7305
24786	6647
292747	2091
363563	2091
366791	5959
301034	4057
295750	81168
100909940	81168
295759	81168
100910107	728386
689730	728386
100910107	100287478
689730	100287478
363518	84779
289482	84779
100909833	84779
498890	84779
24679	5577
29699	5577
292964	6166
81769	6166
103693494	6166
361069	2039
66022	3788
288489	57786
288486	57786
301373	9392
691398	442425
100361138	1609
300691	11185
368066	11185
360629	51251
312373	51251
100910107	728379
689730	728379
502091	79845
100912936	3234
680258	163227
114589	152330
116658	152330
27256	152330
54279	152330
360565	84690
298655	9563
296369	7125
337868	4654
64120	56660
64119	56660
680258	199777
246187	84138
192172	7263
25274	7263
361555	84079
307302	153241
300414	390882
405178	390882
405185	390882
405174	390882
686748	390882
405172	390882
405183	390882
305710	152110
367067	26492
300625	26492
245924	57466
307390	81545
257634	64211
124451	64211
291656	56132
680203	56132
548104	56132
307487	56132
498843	56132
548106	56132
108348201	56132
108348066	51499
691278	51499
25494	4811
299707	51019
303277	94005
499732	127255
680258	7639
500120	56164
308578	160
361707	254187
103693776	83637
289783	83637
83627	11227
315217	23654
54315	7351
500432	81833
678880	8933
679038	8933
291656	56126
680203	56126
548104	56126
307487	56126
498843	56126
548106	56126
108348201	56126
361065	55909
311387	283652
315119	4242
100910107	728419
689730	728419
84395	10568
313742	148479
407761	3892
407760	3892
304833	6738
117514	10628
690286	3131
498695	414328
297029	373156
360831	83451
361649	11273
689625	283130
84582	51564
314028	79872
367645	80119
29560	3091
116698	10155
362539	57188
308787	57188
682988	54797
680258	148213
296358	8785
310900	4547
65028	3301
290009	283694
290001	283694
290008	283694
315308	81566
405137	135941
405134	135941
100910107	100287238
689730	100287238
298340	11254
100361923	64375
25639	2281
58950	2281
499891	25943
316640	23192
316640	23192
29368	8822
100359692	3017
303175	3017
691488	3017
25017	4644
25414	9564
292894	51070
83477	8915
407757	3850
680258	7617
100361774	9649
303337	84440
290009	105369274
290001	105369274
290008	105369274
116478	57498
690849	26648
405337	26648
405158	26648
103693025	26648
100359873	26648
690821	26648
289525	10117
312495	56603
315496	283417
300461	283417
170921	3673
100360457	56776
305420	29945
261736	9318
291656	56127
680203	56127
548104	56127
307487	56127
498843	56127
548106	56127
108348201	56127
64317	2878
29213	10382
29214	10382
296554	10382
498736	10382
291081	10382
292964	100529097
81769	100529097
103693494	100529097
498136	23281
63852	9317
361658	118663
100910107	100287178
689730	100287178
407761	3889
407760	3889
288604	135886
293287	143630
192649	10887
192648	10887
78975	5563
690354	57226
171574	1759
171574	1759
25751	1759
140694	1759
363720	25978
690728	55726
25024	2696
500441	84688
681070	83953
25530	201475
245977	221395
83527	28988
685697	8464
619575	100526761
310727	9398
311693	60437
305610	400954
444982	400954
313409	9829
313409	9829
362409	285362
64544	135152
502894	57103
100125367	148304
499971	392843
689570	153218
681241	256815
361927	8087
100366044	8087
307180	79770
298141	257019
311362	257019
103690057	143458
317235	158866
317235	158866
501283	440503
296384	57169
302884	84419
290027	10038
498579	118461
294800	5810
116721	10057
308099	84624
450230	3882
287406	56985
363675	10948
288475	4885
312678	5927
691903	548313
102551192	548313
103690782	548313
103690782	548313
102551397	548313
25538	6193
294009	79004
305477	150290
691157	440560
29376	8660
362283	8675
680117	3196
103692164	3196
364206	5341
309622	3119
300710	1662
363886	245812
299159	51382
171501	152006
309031	64376
501049	118442
207126	56667
691157	645425
313594	26523
29458	4760
474348	23145
308405	1760
362346	136242
83709	28964
84472	3609
360891	55740
691903	727837
102551192	727837
103690782	727837
103690782	727837
102551397	727837
108351813	65265
679802	158297
317471	158297
298185	158326
100359595	221322
303250	51087
312640	55831
29416	51166
306252	6787
317377	90060
691337	23012
499090	339344
292301	6862
500368	84188
293173	84188
25304	1311
363513	3423
29492	4853
117183	28984
78976	84634
296706	9355
29643	22987
25624	6843
499108	29946
302705	51360
117055	127534
116500	9342
363272	5147
58982	1463
498251	403314
317259	4841
100911800	3113
24986	3113
499506	340120
299582	128360
304887	55103
287968	127059
365493	143384
315994	7867
291921	9683
685082	24149
171350	5042
378947	684
683593	133746
100310874	55010
293345	6881
309255	54893
353307	55315
25533	5876
252920	118427
266767	246213
291105	1871
291105	1871
60589	2046
690544	646019
245903	260425
362924	6482
103689936	51729
297695	51729
108348085	11041
293667	11041
688699	59335
500853	26166
287467	83394
100365872	8637
81782	6646
24851	7168
25417	10570
59110	23746
291394	55748
113922	9403
81710	4487
25483	4487
499731	127253
312654	23023
314399	55148
293476	23214
500354	144608
362399	79364
691157	645414
361944	1998
367092	10620
363577	3702
24627	5144
24627	5144
24627	5144
24626	5144
58924	2524
308586	2524
500199	55037
171358	57172
305918	8100
316507	56961
287968	391196
307189	10529
24334	2026
100911625	2026
499132	388531
679509	55237
84482	2308
288744	85379
365864	7286
311703	81928
365590	9841
309548	8036
303742	80233
310631	92312
84473	11218
79256	3184
305705	116135
310664	58497
295283	284615
308939	10527
100912416	285966
680422	285966
100912372	285966
300981	95
287150	65990
25694	3037
298049	138805
500460	138805
294973	28976
314615	5657
299606	5657
117179	50624
360993	57223
304470	55206
24918	6777
25126	6777
315427	143686
682914	284695
59322	22866
314615	1991
299606	1991
311030	10254
29622	5900
298653	64802
691157	645359
361476	83861
367033	197320
84478	7353
361205	3950
499929	60436
308998	23361
500906	27128
691157	343071
366434	91408
300838	29766
689105	2532
360857	6004
300748	9399
301543	130367
299510	9880
297437	114112
29162	1005
29374	10575
302962	84891
304784	115019
316033	2720
100360623	10788
687001	9734
171574	26052
171574	26052
25751	26052
140694	26052
102551309	284498
683007	375056
315510	22997
497857	28955
302248	22795
311115	130507
314030	10466
362065	79971
117241	51367
362841	54531
85385	6464
363674	342667
685723	117286
79213	6538
259233	257202
100362331	56901
29276	1465
54348	27347
303113	23338
303113	23338
260327	252995
25254	1834
685859	165324
64347	6623
84588	5010
60335	7051
691157	441871
305842	122665
103694852	122665
314300	79697
362165	90993
297604	4055
688481	285588
100911628	285588
103689996	6891
24812	6891
405398	285659
287237	285659
287232	285659
287236	285659
308779	123722
307816	79613
306288	79812
103693419	1353
690300	1353
309774	57120
304860	80896
316435	57404
362154	55854
100911668	3206
103692129	3206
100912608	3206
315121	11135
24571	4582
313053	51441
80722	50964
688478	51122
302973	21
691157	65122
287819	124590
301245	25844
691157	343070
362455	57613
499474	28962
100909474	131583
288031	131583
679154	64762
25290	240
295743	219484
84347	10369
691157	390999
310288	84343
691903	6756
102551192	6756
103690782	6756
103690782	6756
102551397	6756
360970	164633
363909	164633
313837	25797
308523	57616
85421	5587
619582	51249
289372	56950
541457	440097
361035	56339
309622	3120
309622	3120
297561	5893
313582	2275
78959	10327
691157	391002
289054	259266
296558	29882
365603	11149
691157	400736
367314	9208
192357	51292
297525	23609
287968	127062
365657	153562
679805	101928601
502300	646862
363494	2717
362934	4061
170636	9240
309525	387700
29235	8484
296162	65992
306505	91694
117252	196385
309665	64699
362833	126308
83471	5550
290746	60684
501630	139221
363255	55139
140923	665
306222	23658
287125	10101
287042	10101
89783	7805
116711	90273
24257	90273
300724	26263
293488	112869
361733	83661
306657	153572
64016	81890
315969	11073
252900	84649
304286	22853
499807	80067
691157	400735
60663	3645
685179	6601
25373	197
25680	1208
361465	55862
498281	81607
367304	130340
362297	155435
361346	162681
108348212	22878
291750	22878
499874	23269
500368	55711
293173	55711
116691	9267
314328	145497
311406	1844
310132	3977
81680	3977
498333	55589
293415	56674
362966	150372
300035	65263
690441	9551
689271	9551
24388	2672
686030	401027
360640	9020
314075	50640
293546	51704
287119	90850
363633	5430
366618	11154
292064	54971
361812	285848
25356	6900
362201	23582
192247	124925
304813	4660
304813	4660
114090	1959
100360342	2956
100126191	81876
102555167	81876
297480	27086
300141	54456
25124	6772
313254	113220
307973	54849
66026	59341
312030	9169
29172	343
367073	51399
114513	5924
363585	134083
405985	134083
287247	134083
405987	134083
405984	134083
405983	134083
405986	134083
287245	134083
287241	134083
405991	134083
287240	134083
405990	134083
282825	7541
59112	9421
29610	7049
296345	57158
360577	64359
310200	651746
288259	2618
79438	3483
29335	4986
313169	55833
84430	10585
29495	1742
29495	1742
287805	55890
313243	51010
362825	10362
306013	203190
365241	3743
311536	113278
292755	342897
292755	342897
294241	80740
25318	2339
60630	219699
499651	440695
171549	147700
308857	374407
680860	83481
103691134	2323
315263	80070
298104	203197
54349	316
24688	5630
367034	93134
367038	10053
295721	283189
295728	283189
296884	113263
308129	389434
306805	54829
103690027	54829
311348	146059
108348323	51265
60396	51265
293739	341116
303468	6442
363040	6484
294709	80006
100910792	273
60668	273
314523	55112
691903	6757
102551192	6757
103690782	6757
103690782	6757
102551397	6757
499602	80167
361391	865
362726	222255
367318	50636
94342	7917
364018	4688
310681	148738
360459	89927
691157	645382
361796	7920
310218	759
367034	54811
683570	10007
363198	55166
362818	6490
499900	7692
499900	7692
498902	146223
59317	2036
60587	1846
361794	4795
497923	57335
289378	128387
84685	55607
305941	6445
497892	6445
364605	6445
24684	5618
360816	113675
25044	113675
171046	6929
363287	9759
100910755	55680
690777	55680
405398	26693
287237	26693
287232	26693
287236	26693
363578	84868
365377	493829
24333	2023
171108	9934
79558	90
309441	56652
288584	51024
84022	2862
65275	2850
24451	3162
171164	2634
304266	2634
301665	55133
680248	55190
94267	55190
367747	55190
311078	10213
314992	84933
680248	11163
94267	11163
367747	11163
84480	664
362453	1389
29526	5319
171057	150472
499437	254394
499437	254394
363252	79137
191572	113146
314478	113146
685888	135154
100912115	100128553
309000	93129
81718	1036
303242	146754
362619	27293
500227	388963
680991	27175
252921	27175
25520	5571
287711	80347
679713	7862
498982	4602
299567	114770
24167	117
102550306	140873
301570	3431
314596	64926
50662	861
29185	951
29309	51805
100362477	112268393
102554431	112268393
361974	5188
494270	57191
494245	57191
494281	57191
292607	57191
494278	57191
365190	57191
299799	23011
297076	474344
498079	10225
288275	30811
364634	114788
314942	114788
313040	114788
299938	28998
292310	2853
305135	23507
288905	9466
25302	89832
366205	23767
499878	4236
57302	1269
301020	6599
300884	129868
171057	445571
296618	89891
311530	140838
498278	257177
304575	55344
304575	55344
100909600	55344
100909600	55344
688721	78999
171164	2635
304266	2635
300381	642623
171443	56996
171443	56996
79125	309
292944	85021
29671	5685
50677	5800
362039	81579
289240	441911
289241	441911
81800	6767
25750	4129
29253	4129
501721	728279
501720	728279
680152	728279
680136	728279
688966	729991
287109	54442
64633	5868
100361891	5868
688553	136288
314992	100533106
171444	55690
84011	10079
60661	4149
303342	85464
29230	6713
50683	6440
100310876	259291
690448	259291
25066	5817
296689	392390
405112	392390
100310876	259295
690448	259295
502421	54733
502421	54733
300713	54733
298288	730
313421	730
117512	730
117517	730
24237	730
296318	57446
361846	9559
291996	28987
310013	26049
310013	26049
687739	203245
367858	3265
293621	3265
302953	84464
84028	5407
299735	144193
80754	79874
171057	220869
171139	26520
296651	5711
252929	1522
300884	729384
292811	84902
25427	1595
500715	8812
315728	79875
289934	54995
300627	26494
100362319	26494
300624	26494
405076	26494
690115	144132
65050	343472
100360091	131920
100911581	2166
29347	2166
296689	254973
405112	254973
29521	9522
191572	79026
314478	79026
681913	2954
309816	3910
680210	8000
494309	317701
494253	317701
494252	317701
494259	317701
494292	317701
494292	317701
494260	317701
494302	317701
494312	317701
494236	317701
494229	317701
494283	317701
494225	317701
494298	317701
102551504	317701
494267	317701
494279	317701
494246	317701
299649	317701
494266	317701
108348087	317701
494256	317701
494237	317701
494258	317701
100362068	317701
494231	317701
494300	317701
494288	317701
494299	317701
494287	317701
494297	317701
307270	4200
24552	4200
361602	4200
362187	91057
286928	10006
79249	10006
25750	4128
29253	4128
300884	283116
24699	5788
302975	9143
316526	7475
140929	27115
308650	3188
308346	284417
286928	10152
79249	10152
305123	676
362721	7260
64555	79925
64555	79925
100912019	79925
100362477	55138
102554431	55138
116699	8821
65029	26
680991	7283
252921	7283
688540	23031
100174910	401207
289240	391121
289241	391121
100362477	112268390
102554431	112268390
310808	23443
293886	55664
83830	2957
294273	3109
108348139	3109
313056	9410
362700	6683
302678	94056
688429	79658
688429	79658
298227	4507
291975	84080
117242	57451
117242	57451
306451	57451
306451	57451
306451	57451
306451	57451
681901	8433
116744	1902
191568	4671
294691	4671
689582	55693
108348070	55693
500944	55693
140727	59285
170579	27006
103689938	634
81613	634
25506	64714
100362169	170370
303414	8288
308759	55898
102554393	11093
102554283	11093
309362	23268
296076	6727
24787	6648
79429	56034
299818	84298
100911956	84298
171164	2633
304266	2633
364302	493901
360557	22861
691998	22861
298576	79594
310174	1016
688146	55316
363654	388364
309596	57176
299643	4701
100310876	259293
690448	259293
680248	170685
94267	170685
367747	170685
100310876	259290
690448	259290
81813	7071
289014	9261
63835	1493
308650	3187
100310876	259292
690448	259292
85271	22917
286994	55366
685007	54346
100913063	973
681236	973
310630	64218
29155	825
29155	825
252934	9377
289197	4259
259270	63925
295475	63973
685487	84133
445271	84502
298186	158219
83610	321
500992	120400
100363350	120400
363122	5523
500826	8693
363442	139341
313325	3898
689986	388649
499353	1562
293989	1562
29298	1562
29298	1562
29277	1562
29277	1562
100361547	1562
497865	58517
25699	1621
64636	23620
314751	57458
314751	57458
310621	128239
361948	26960
361975	26960
287836	85302
360823	88455
310635	9181
83577	3682
25741	5211
364634	114784
314942	114784
313040	114784
103689969	7404
100310845	7404
171057	644019
66030	132204
24804	132204
303905	83666
364634	64478
314942	64478
313040	64478
363555	117166
85254	23446
308492	284403
108348056	284403
170919	56894
294324	56894
307270	10873
24552	10873
361602	10873
302554	392465
192349	50632
687008	5095
310463	23007
307428	25816
299957	286053
293668	25855
108348098	25855
360958	84448
365652	10087
171378	5532
24675	5532
24674	5532
314764	8411
316012	23276
117023	3787
25516	5368
299121	55860
287476	23140
306790	10507
100910753	30836
312721	8798
494309	317702
494253	317702
494252	317702
494259	317702
494292	317702
494292	317702
494260	317702
494302	317702
494312	317702
494236	317702
494229	317702
494283	317702
494225	317702
494298	317702
102551504	317702
494267	317702
494279	317702
494246	317702
299649	317702
494266	317702
108348087	317702
494256	317702
494237	317702
494258	317702
100362068	317702
494231	317702
494300	317702
494288	317702
494299	317702
494287	317702
494297	317702
298288	732
313421	732
117512	732
117517	732
24237	732
24565	8714
140668	8714
81642	8714
100912948	8714
316403	92935
100911305	92935
64371	10935
81814	7114
316376	3628
362247	26133
689484	2483
686103	2483
689582	390245
108348070	390245
500944	390245
501033	23251
314473	26153
293721	23193
85263	253512
361074	253512
360827	8408
304530	51347
315970	55573
499235	55573
366206	56914
25506	5034
25302	1139
298101	85301
100362477	112268391
102554431	112268391
312046	10926
103690019	10926
103689938	4680
81613	4680
362078	79813
362078	79813
303872	80235
294103	9060
360950	9948
360746	23759
29301	3034
317379	79917
313339	340485
293922	2334
301121	5991
361746	5991
171125	5794
298288	729
313421	729
117512	729
117517	729
24237	729
500693	80127
309434	55662
64226	64223
308265	9113
309097	84435
100362477	112268395
102554431	112268395
317546	257397
24842	7157
100910954	7157
114020	9027
64570	9027
500237	9027
102556148	9027
103690120	9027
59300	9027
103690139	9027
102549803	9027
171084	9027
113892	9027
100910829	9027
299211	283576
299499	221833
366078	221833
313949	60526
117855	7536
360750	6370
89814	7292
108349244	79868
498399	284904
317371	7454
171154	51156
100909524	51156
499126	79713
266761	285440
25058	3098
25058	3098
170633	2248
296532	339745
301076	353274
364841	29930
501628	85012
679974	85012
680282	85012
80843	55176
361273	55176
171096	1474
361217	169981
108348199	169981
373066	28981
288264	3454
25218	6293
502749	55750
314457	122416
79241	3202
103692127	3202
103689922	3202
54257	2898
54257	2898
317376	7030
310743	56944
361096	7547
64618	7547
367944	7547
362501	10210
689055	10635
100359821	284307
100911224	284307
303534	83538
171575	1777
298534	63967
54264	9935
54267	9935
361992	117145
103691033	125919
367307	129563
364420	8794
364420	8793
306570	286
306570	286
361147	201973
84027	2932
303499	6668
261738	7401
292548	7565
691135	7565
682964	7565
103691059	7565
360820	5829
305468	56478
100365363	79788
365567	10367
361954	79674
498095	255758
64528	2801
311546	22974
24907	7402
24907	7402
24907	7402
24907	7402
25600	7402
304528	5985
294025	79991
362504	11258
315866	167681
306226	107987490
29232	1181
108348101	1181
683849	5645
24691	5645
25052	5645
103690254	5645
362347	5645
305895	80344
80843	29927
361273	29927
102553962	92595
102553866	92595
306226	107987488
292148	8661
501628	340543
679974	340543
680282	340543
54231	760
361096	7546
64618	7546
367944	7546
78964	10886
100365363	162962
170573	55089
365371	6911
364386	55072
29285	6209
362537	6619
290032	64184
103693384	64184
103693823	64184
312154	54556
302661	8481
171063	2975
303678	57513
685229	6887
306417	57630
361710	6494
300247	9119
360656	30850
29584	2705
691231	25929
365057	389840
501558	389840
84353	1499
363041	399968
171566	29922
499669	11189
314647	11189
364974	10535
361630	7003
58919	595
64033	595
299809	10576
311456	8195
299694	9891
313722	80176
364420	8795
290370	29103
116782	5098
500348	79370
500348	79370
500242	5093
252924	7181
63878	8614
85382	58157
50622	9962
317366	11040
65193	84504
309095	84504
100361631	100506144
308905	50613
292548	284309
691135	284309
682964	284309
103691059	284309
288920	79002
100910447	79002
84416	23676
246768	25776
361178	51270
266608	8326
363913	8326
304794	5929
498423	9792
691411	646643
361618	6786
287002	26333
299596	26333
299593	26333
100912028	26333
404961	26333
404959	26333
405280	26333
366834	26333
404958	26333
405362	26333
365213	339345
266777	4884
679572	140823
100910944	140823
24277	1420
684028	1420
366029	10773
296733	54480
688517	4594
311429	25876
500384	54968
689388	5806
114091	2220
83517	2220
84387	8993
66027	1821
315137	100913187
450228	3884
303528	3884
289990	5706
292548	730051
691135	730051
682964	730051
103691059	730051
100362565	342372
192180	51388
308444	558
316330	200539
103691033	9422
84494	7224
140933	7224
298881	93034
681989	63894
681234	51163
245955	3959
100911685	23708
501582	23708
24420	23708
361895	79993
301261	22875
362087	10422
302976	124056
681429	6232
108351831	6232
94266	6232
100911728	6232
29565	1938
353498	1584
24294	1584
100910462	1584
680316	1584
405131	402317
405329	402317
85262	9481
364380	63874
501146	55437
24886	6916
404828	219429
300088	171568
500832	79738
290317	83595
292548	348327
691135	348327
682964	348327
103691059	348327
315987	9730
307900	3755
296395	3755
683849	5646
24691	5646
25052	5646
103690254	5646
362347	5646
29534	5828
100911976	126123
499147	126123
361388	2549
497840	1373
299920	23639
295315	6913
688968	11319
306819	221656
81024	3382
315163	440829
360792	51657
498728	54898
498796	83641
315530	9743
315530	9743
309678	7109
684173	7188
367415	84647
58919	894
64033	894
100365259	144108
364403	640
361217	10927
108348199	10927
287633	55379
84397	7130
361449	85313
89825	4673
287159	9091
266762	116535
364420	8797
192362	3918
25307	1470
366219	1470
100910751	92170
300340	64066
305675	79933
681429	51065
108351831	51065
94266	51065
100911728	51065
60351	9971
24864	5225
56827	8911
309178	116071
313098	85015
361041	90668
302405	645974
171304	3832
100365363	90317
100361960	1349
680858	55287
171163	6540
293500	79447
303321	92002
366872	51134
100365363	90338
108351300	388015
29138	8927
65197	6518
287379	6470
287379	6470
680778	340595
102556119	117608
24522	117608
290303	57213
100912097	144124
293370	144124
363103	26503
313038	1912
288792	403284
288886	403284
404924	403284
288798	403284
288840	403284
192129	81671
298002	138716
299743	28977
103691922	28977
100361098	28977
684996	136647
295528	127254
295528	127254
114125	10683
500659	84075
317628	27301
25307	1469
366219	1469
100912097	341276
293370	341276
309158	256472
108348045	256472
315711	8482
688536	389396
309449	83401
100910984	389658
100363136	284827
100363184	284827
100363287	284827
501765	284827
100363236	284827
103693537	284827
363739	284827
501768	284827
501767	284827
299783	11010
503139	11010
690005	85364
84508	7844
363516	215
363237	55759
81509	623
102547932	9831
100361960	170712
363328	148022
252879	728642
361434	728642
102548778	84875
685269	3674
299783	256710
503139	256710
305628	343099
363220	3899
315695	161753
315189	55615
360847	29089
100365363	110116772
299762	160335
24410	2904
102546484	107983988
140936	5957
100360412	64215
298301	374977
25541	6342
25541	6342
56817	30819
100911951	30819
314380	55775
299339	7127
59086	7040
292044	124359
81637	161
81678	3709
303774	57690
309399	51104
287634	146956
689443	25771
361929	286410
317599	286410
306600	286410
363326	79958
290959	23169
298280	23169
171043	114907
293710	85329
100359678	100131755
313022	9064
24950	6715
64677	6715
450228	3881
303528	3881
360757	84935
499260	146183
293847	1852
108352059	114984
287697	3886
362050	115362
308983	84901
361858	112495
102556119	6940
24522	6940
290645	84769
297755	6129
312299	2146
25661	2335
311422	3704
497197	89869
298443	114034
307472	153769
312634	64419
294789	202151
302656	9758
266610	8772
406196	54535
108348093	8824
498940	8824
688542	8824
685645	8824
192257	8824
171118	8824
291952	8824
679149	8824
292152	8824
313777	26155
304551	84700
314180	161357
29659	5025
363031	54443
307056	54443
313210	19
64303	5217
81531	5217
100909840	5217
308846	7405
361878	167153
103690160	22941
103690160	22941
78957	22941
59312	22941
