10090_22259	10116_58852	9606_10062
10020_0:001c9e	10029_0:000a38	10036_0:00318c	10047_0:00188a	10089_0:00037a	10090_64435	10093_0:00199e	10116_681070	10141_0:003942	10160_0:003834	10181_0:00345a	1026970_0:0049e7	109478_0:004a87	118797_0:004625	1230840_0:0005b9	127582_0:001627	132908_0:0045ef	143302_0:002462	1737458_0:000cc5	185453_0:0007ea	1868482_0:003381	186990_0:003f77	225400_0:000583	230844_0:004c41	246437_0:00312c	28737_0:001d8d	29073_0:000969	29078_0:00323c	29088_0:001400	291302_0:0004b5	30521_0:000fe2	30538_0:003b06	30608_0:0049ee	30611_0:002549	310752_0:000fb1	32536_0:003345	336983_0:0001d1	34839_0:00051f	34882_0:0024f3	37293_0:00342c	379532_0:000b5c	39432_0:001fa2	419612_0:00208f	43179_0:0025db	43346_0:00363f	482537_0:0046f7	51337_0:002b56	51338_0:004d98	591936_0:003989	59463_0:002262	59538_0:0028e3	60711_0:004841	61621_0:001ceb	61622_0:001451	61853_0:00114b	62698_0:004502	73337_0:001431	74533_0:0040c4	79684_0:000da4	885580_0:0047b7	89399_0:003024	89462_0:000b08	9361_0:003440	9361_0:003443	9365_0:001de0	9371_0:000d14	9402_0:003ad0	9407_0:0045fa	9483_0:0043b8	9531_0:0005f3	9541_0:00001a	9544_0:0005c1	9545_0:00094a	9555_0:00030c	9568_0:000756	9595_0:00046b	9597_0:00050a	9598_0:0007b9	9601_0:000632	9606_83953	9615_0:001485	9646_0:003fca	9668_0:001ea3	9685_0:004949	9691_0:000554	9713_0:000a2a	9733_0:003a5a	9739_0:003852	9749_0:0028ca	9755_0:003c31	9785_0:001940	9793_0:00068c	9796_0:001172	9798_0:003d07	9823_0:002e45	9837_0:0031a6	9838_0:0032f1	9874_0:001d75	9913_0:00315a	9915_0:002ec0	9925_0:002d35	9938_0:001f9e	9940_0:002c59	9974_0:002c71	9978_0:0005d9	9986_0:002c01	9994_0:00162a
10090_16494	10116_64358	9606_3742
10116_308701
10090_74901	10116_306617	9606_9920	9606_9920
10090_28135	10116_300963	9606_80254	9606_80254
10090_229473	10116_679811	9606_23240	9606_23240
10090_109079	10116_291314	9606_22929
10090_110829	10116_499443	9606_3987	9606_100288695	9606_100288695	9606_100288695	9606_96626
10090_26572	10116_287367	9606_8533
10090_110119	10116_300741	9606_4351
10090_80708	10116_311187	9606_29763
10090_12638	10116_24255	9606_1080
10090_319582	10116_306504	9606_57604	9606_57604	9606_57604
10090_74347	10116_307901	9606_57707
10090_218442	10116_170907	9606_256987
10090_106861	10116_313917	10116_291793	9606_84696	9606_171586
10090_17261	10116_81518	9606_4209
10090_13117	10090_666168	10090_81906	10090_277753	10090_100040843	10090_13119	10090_435802	10090_13120	10090_13118	10090_230639	10116_50549	10116_298423	10116_266674	10116_24306	10116_246767	10116_24307	9606_1580	9606_199974	9606_1579	9606_260293	9606_284541	9606_260293
10090_320709	10116_500921	9606_84216	9606_84216
10090_214531	10116_300682	9606_84000
10090_69900	10116_360667	9606_79157
10090_16177	10116_25663	9606_3554
10090_19009	10116_116545	9606_5463
10090_102570	10090_382113	10116_316062	10116_685081	10116_316061	9606_9390	9606_9389	9606_9389	9606_9390
10090_243339	10116_304280	9606_222865
10090_217143	10116_287657	9606_440435
10090_12399	10090_12394	10090_12393	10116_156726	10116_367218	10116_50662	9606_864	9606_860	9606_861
10090_215627	10090_215627	10116_500553	9606_728116
10090_77038	10090_66251	10116_362162	10116_503165	9606_84364	9606_26286
10090_384619	10090_384619	10116_308581	9606_147872
10090_21463	10090_71841	10090_21463	10116_309641	10116_679989	9606_6954	9606_100996631	9606_100996648
10090_105428	10116_289900	9606_317662	9606_317662
10090_436008	10116_100910280	9606_100288072	9606_100288072
10090_20531	10116_84395	9606_10568
10090_16521	10116_29713	9606_3762
10090_26420	10116_50658	9606_5601
10090_226896	9606_83741
10090_238076	10116_83588	9606_3790
10116_365842	9606_1196
10090_68047	10116_681944	9606_84954
10090_22234	10116_83626	9606_7357
10090_14085	10116_29383	9606_2184
10090_75905	10116_501512	9606_79742
10090_12496	10116_64467	9606_954
10090_237625	10116_289733	9606_50487
10090_100040606	10090_100040533	10090_100862389	10090_100862323	10090_100862067	10090_100862341	10090_100042275	10090_100040458	10090_100040781	10090_434725	10090_100040698	10090_100040732	10090_668960	10090_100040482	10090_668964	10090_100862274	10090_100042254	10090_100861966	10090_630022	10090_100040448	10090_71847	10090_668958	10090_100862369	10090_627264	10090_100040722	10090_100042168	10090_100042159	10090_668963	10090_100862329	10116_302576
10090_54367	10116_682914	10116_682914	9606_284695
10090_83921	10116_309400	9606_23670
10090_74122	10116_362401	9606_79188
10090_76453	10116_308807	9606_11098
10090_20430	10090_76884	10116_308666	9606_26999	9606_23191	9606_23191
10090_94254	10116_360796	9606_81554
10090_13849	10116_25315	9606_2052
10090_54711	10116_296281	9606_5326
10090_15450	10090_16891	10116_24538	10116_291437	9606_3990	9606_3990	9606_9388
10090_71878	10116_311598	9606_81610
10090_76438	10116_501095	9606_23180
10090_211535	10090_211535	10116_308594	9606_93233
10090_14602	10116_25321	9606_2692
10090_19181	10116_25581	9606_5701
10090_50776	10116_303612	9606_11232
10090_226499	10116_304863	9606_54953
10090_13105	10090_13101	10090_380997	10090_545123	10090_76279	10090_71754	10090_56448	10090_223706	10116_266684	10116_171522	10116_24303	10116_25053	9606_1565	9606_1564	9606_107987479	9606_107987478
10090_237400	10116_299613	9606_399664
10090_106585	10116_316775	9606_23253
10090_14645	10116_24957	9606_2752
10090_69481	10116_314659	10116_292516	9606_284382
10090_56175	10116_288227	9606_25825	9606_25825
10090_12162	10116_85272	9606_655
10090_14768	10116_114515	9606_10314
10090_237073	10090_237073	10116_680581	9606_55285
10090_76577	10116_291000	9606_23197
10090_18080	10116_100911256	10116_299117	9606_51199
10090_83945	10116_360481	9606_9093
10090_70369	10116_103690404	10116_366734	9606_9529
10090_14544	10116_83585	9606_9615
10090_74359	10116_498514	9606_60686
10090_432839	10116_306284	9606_9721
10090_243822	10116_308344	9606_284418
10090_381695	10116_288416	9606_10443	9606_10443
10090_71999	10116_300724	9606_26263
10090_69938	10116_502776	9606_9805
10090_21419	10090_21418	10116_301285	10116_306862	9606_7021	9606_7020
10090_20937	10116_302553	9606_6839
10090_223332	10116_294789	9606_202151
10090_330963	10090_271144	10116_100359662	10116_100362785	9606_728780	9606_348094
10090_216157	10116_299608	9606_91304
10090_67313	10116_289399	9606_55765
10090_16923	10116_58838	10116_100912342	9606_10019
10090_228139	10116_81739	9606_5024
10090_98758	10116_64200	9606_3185
10090_68278	10090_53817	10116_89827	10116_114612	9606_7919	9606_10212
10090_109232	10116_103689999	10116_305021	9606_51097
10090_19246	10116_24697	9606_5770	9606_5770
10090_74178	10116_360230	9606_83931
10090_70394	10116_308107	9606_11133
10090_15900	10116_292060	9606_3394	9606_3394
10090_66084	10116_292268	9606_55005
10090_233870	10116_293481	9606_7284
10090_72323	10116_296627	9606_140459
10090_17847	10116_360990	9606_9736
10090_30962	10116_116726	9606_11136
10090_70208	10116_309565	9606_9439
10090_16978	10116_367314	9606_9208
10090_232970	10116_308431	9606_653583
10090_22634	10116_25157	9606_5325
10090_14733	10090_14733	10116_58920	9606_2817	9606_2817
10090_15139	10116_362119	9606_727
10090_26891	10116_360915	9606_51138
10090_19888	10116_681377	9606_6101
10090_71227	10116_363267	9606_164781
10116_83825
10090_56456	10090_83766	10116_361925	10116_288563	9606_86	9606_51412
10090_219022	10090_219022	10116_305837	9606_91875
10090_21856	10116_29635	9606_10469
10090_330998	10116_300889	9606_390616
10090_629059	10116_691938	9606_220108
10090_215418	10116_363165	9606_64651
10090_20965	10090_27204	10090_27204	10090_20964	10116_29179	10116_29130	10116_24949	9606_6854	9606_8224	9606_6853
10090_68465	10116_312670	9606_79602
10090_26448	10116_362787	9606_5891
10090_214951	10116_117025	10116_287556	9606_9028
10090_69635	10116_306722	9606_1612	9606_1612
10090_14228	10116_260321	9606_2288
10090_18569	10116_64031	9606_27250
10090_432731	10116_266792	9606_7741
10090_74455	10116_307148	9606_221078
10090_18542	10116_29569	9606_5118
10116_103694488
10090_244058	10116_308739	9606_56963
10090_101744	10116_687403	9606_390928
10090_668929	10116_689823	9606_642636
10090_194590	10116_363466	9606_9185
10090_208449	10116_353229	9606_259230
10090_66975	10116_294709	9606_80006
10090_70640	10116_100912052	10116_100912393	10116_103690064	10116_100909830	10116_291604	9606_167227
10090_666468	10090_666468	10116_678769	9606_115201
10090_11977	10116_24941	9606_538
10090_239570	10116_300125	9606_55020
10090_67621	10116_362564	9606_79656
10090_22344	10090_22344	10116_287615	9606_7716
10090_22724	10090_16969	10090_207259	10116_295248	10116_117107	10116_679155	9606_51043	9606_201501	9606_51341
10090_20166	10116_103692165	10116_297383	9606_6242
10090_194655	10116_313994	9606_8462
10090_24117	10116_114557	9606_11197
10090_12116	10116_81508	9606_635
10090_67453	10116_291709	9606_91137
10090_66853	10090_116939	10090_75772	10090_116939	10116_100911615	10116_361676	10116_362972	10116_300108	9606_57104	9606_150379	9606_80339
9606_7693
10090_110606	10090_110606	10116_64511	9606_2342
10090_20288	10116_498638	10116_498638	9606_4481
10090_17125	10116_25671	9606_4086
10090_70638	10116_680344	9606_23359	9606_23359
10090_18766	10116_300124	9606_10343
10090_108168318	10116_100360476	9606_10045
10090_74393	10116_307948	9606_54627
10090_102414	10116_171305	9606_1198
10090_70928	10116_311373	9606_140691
10090_213006	10116_498228	9606_148808
10090_76265	10116_690308
10090_64144	10116_301119	9606_4298
10090_170441	10116_366251	9606_81031
10090_68799	10116_681433	9606_285704
10116_302367
10090_213603	10116_295417	9606_126969
10090_19211	10116_50557	9606_5728	9606_5728
10090_99696	10116_294988	9606_57182
10090_76299	10116_298066	9606_23071
10090_70235	10090_382406	10116_100362836	10116_501048	9606_25886	9606_282809
10090_68675	10116_294606	9606_83989	9606_83989	9606_83989
10090_14608	10090_245526	10090_76206	10116_140595	10116_296867	10116_296866	9606_10888
10090_113868	10090_235674	10116_24157	10116_501072	9606_30
10090_66597	10116_364398	9606_10206
10090_230863	10116_366489	9606_400745
10090_19041	10116_302934	9606_5493
10090_73862	10116_289778	9606_100130988
10090_51812	10116_300222	9606_10445
10090_233987	10116_100302405
10090_229715	10116_295365	9606_57463
10090_545554	10116_295283	9606_284615
10090_80280	10116_80278	9606_80279
10090_666938	10116_681008	9606_389206
10090_74019	10116_363286	9606_26146
10090_109136	10116_291939	9606_166785
10090_13617	10116_24326	9606_1909
9606_7775
10090_106073	10116_315329	9606_84975
10090_232539	10116_500367	9606_57542
10090_77809	10116_298309	9606_115353
10090_109929	10116_314245	9606_7597	9606_7597
10090_116701	10116_360903	9606_53834
10090_225849	10116_309179	9606_5526
10090_74781	10090_52639	10116_303630	10116_288498	9606_26100	9606_55062
10090_214763	10116_682147	9606_115004
10090_52118	10090_19294	10116_25066	10116_308417	9606_5817	9606_5819
10090_16497	10090_16497	10090_16498	10116_29737	10116_29737	10116_29738	9606_8514	9606_7881	9606_7881
10090_230316	10116_313270	9606_1955
10090_71946	10116_363015	9606_23052
10090_75953	10116_310257	9606_344658
10090_59035	10116_363026	9606_10498
10090_208076	10116_680549	9606_63876
10090_241113	10116_301518	9606_53632
10090_17936	10116_64824	9606_4664
10090_22782	10116_58976	9606_7779
10090_269113	10116_53372	9606_53371
10090_218832	10116_361102	9606_11128
10090_19696	10116_305584	9606_5966
10090_20410	10116_282843	9606_10174
10090_21453	10116_291571	9606_6949
10090_56386	10116_65196	9606_9331
10090_244723	10116_313783	9606_93145
10090_209176	10090_15930	10116_681319	10116_66029	9606_3620	9606_169355
9606_7752
10090_27367	10090_66211	10116_300079	10116_287122	9606_6123	9606_6122
10090_239852	10116_363768	9606_131368
10090_17939	10090_11605	10116_315165	10116_363494	9606_4668	9606_2717
10090_22354	10116_24875	9606_7433
10090_230861	10090_230861	10090_230861	10116_298573	10116_298573	9606_8672	9606_8672
10090_108153	10116_315879	9606_11173
10090_74155	10116_313729	9606_54206
10090_114872	10116_59313	10116_292666
10090_75669	10116_363131	9606_30849
10090_79043
10090_76943	10116_289720	9606_768239
10090_16174	10116_373540	9606_8807	9606_8807
10090_11990	10116_83526	9606_8455
10090_53318	10116_114108	9606_27295
10090_68861	10116_315891	9606_205428
10090_26940	10116_300447	9606_51295
10090_100088	10116_682908	9606_1104
10090_58206	10116_688845	9606_27033
10090_12672	10116_25111	9606_1132
10090_16529	10116_364241	9606_8645
10090_218333	10116_306665	9606_23379
10090_19089	10116_300445	9606_5589
10090_234825	9606_54758
10090_15587	10116_64468	9606_8692
10090_75991	10116_305310	9606_57606
10090_244694	10116_500944	10116_108348070	10116_689582	9606_390245	9606_55693
10090_11470	10090_11471	10116_298017	10116_313183	9606_10880	9606_10881
10090_100042165	10090_331401	10116_679894	10116_313308	9606_57187
10090_272589	10116_315591	9606_219899
10090_13608	10116_365581	9606_10913
10090_15566	10116_65032	10116_103694905	9606_3363
10090_70266	10116_311844	9606_883
10090_110304	10090_14654	10116_25674	10116_114516	9606_8001	9606_2741
10090_67457	10116_309172	9606_83786
10090_26943	10090_56442	10116_296350	10116_294421	9606_57515	9606_10955
10090_243043	10090_383348	10116_364148	10116_291618	9606_386617	9606_57528
10090_241035	10116_301287	9606_5314	9606_5314	9606_5314
10090_12812	10116_50998	9606_8161
10090_21415	10116_312451	9606_83439
10090_217219	10116_100361389	9606_284069
9606_387707
9606_9645
10090_26466	9606_339324
10090_56189	10116_361538	9606_58510
10090_68628	10116_288921	9606_84261
10090_13088	10090_13089	10090_243881	10090_13090	10090_13094	10090_13089	10116_292728	10116_685222	10116_103691072	10116_29295	10116_100910127	10116_103691092	10116_24300	9606_1555
10090_232679	10116_296957	9606_51530
10090_103968	10116_25629	9606_5346
10090_71096	10090_268534	10116_500394	10116_298936	9606_54221	9606_54212	9606_54221
10090_20890	10116_291678	9606_7478
10090_73828	10116_362762	9606_285429	9606_138009	9606_26094
9606_54807
10090_66948	10116_367196	9606_27034
10090_74760	10116_171452	9606_5866
10090_15378	10116_25735	9606_3172	9606_3172
10090_53416	10090_108737	10116_54348	10116_316064	9606_27347	9606_9943
10090_449521	10116_287094	9606_7760
10090_330286	10116_312246	9606_57670
10090_15975	10116_288264	9606_3454	9606_3454
10090_54006	10116_83632	9606_10522
10090_225467	10116_81746	9606_5229
10090_13386	10116_114587	9606_8788
10090_217837	10116_500709	9606_3705	9606_3705
10090_18604	10116_81530	9606_5164
10090_21872	10116_292994	9606_7082	9606_7082
10090_53374	10116_84468	9606_9469
10090_21645	10116_316242	9606_202500
10090_70729	10116_192363	9606_9722
10090_329416	10116_311111	9606_115677
10090_73062	10116_362944	9606_84988
10090_68295	10116_296312	9606_25980
10090_234069	10116_361182	9606_55795
10090_11464	10090_11468	10090_11459	10090_11475	10116_81633	10116_29275	10116_25365	10116_29437	9606_58	9606_72	9606_59	9606_70
10090_66659	10116_295305	9606_51205
10090_72183	10116_362738	9606_58533
10090_11834	10090_11834	10116_366163	9606_9716
10090_23970	10090_23969	10116_124461	10116_29704	9606_29993	9606_11252
10090_12366	10116_64314	9606_835	9606_835
10090_18390	10116_25601	9606_4988
10090_17130	10090_17131	10116_367100	10116_81516	9606_4091	9606_4092
10090_224762	10116_294208
10090_378431	10116_308622	9606_167838
10090_245847	10116_302972	9606_51005
10090_77035	10116_308976	9606_79831
10090_13681	10090_13682	10116_287436	10116_303831	9606_1974	9606_1973
10090_21809	10116_25717	9606_7043
10090_227290	10116_301512	9606_14
10090_19179	10116_117263	9606_5700
10090_14683	10090_14683	10090_14680	10116_24896	10116_24611	9606_2774	9606_2774	9606_2778	9606_2778
10090_68421	10116_246046	9606_55788
10090_77058	10116_499754	9606_84960
10090_67134	10116_362214	9606_10528
10090_226830	10116_289372	9606_56950
10090_18663	10090_18655	10116_316265	10116_24644	9606_5232	9606_5230
10090_56323	10116_313811	9606_25822
10090_244180	10116_293288
10090_20255	10116_116635	9606_29106
10090_12331	10116_64185	9606_10487
10090_235604	10116_79011	9606_79012
10090_103136	10116_362856	9606_11137
10090_67993	10116_367323	9606_83594
10090_234582	10116_361363	9606_92922	9606_79839
9606_66035
10090_320502	10116_500267	9606_56203
10090_66717	10116_289716
10090_71988	10116_691979	10116_680014	9606_157570
10090_20129	10116_295190	9606_126638
10090_225742	10116_364901	9606_29906
10090_65111	10116_295238	9606_7818
10090_68947	10090_71367	10116_308511	10116_291770	9606_83539	9606_64377
10090_13813	10116_316052	9606_8320
10090_232313	10090_223827	10116_688618	10116_300173	10116_100912135	9606_727936	9606_727936	9606_283464
10090_14252	10116_83764	9606_2319
10090_72555	10116_100361134	9606_729993
10090_217707	10116_299195	9606_51004
10090_77220	10116_498987	9606_114801
10090_72090	10116_613267	9606_377841
10090_17930	10116_306616	9606_9172
10090_227620	10116_296560	9606_91373
10090_212989	10116_364973	9606_54831
10090_99010	10116_296048	9606_254531
10090_20648	10116_362242	9606_6640
10090_103213	10116_361857	9606_10758
10090_94192	10116_65044	9606_56913
10090_170728	10116_309912	9606_84816
10090_65102	10116_301431	9606_60491
10090_64707	10116_364785	9606_79723
10090_19042	10116_24666	9606_5494
10090_14950	10116_311545	9606_81502
10090_245269	10116_310376	9606_167359
10090_77951	10116_316435	9606_57404	9606_57404
10090_72902	10090_94214	10090_20745	10116_306404	10116_306759	10116_361840	9606_50859	9606_6695	9606_9806
10090_20591	10090_20592	10116_317432	10116_100312983	9606_8242	9606_8284
10090_14457	10116_85246	9606_8522
10090_27028	10116_298485	9606_114625
10090_20501	10116_25027	9606_6566
10090_72171	10116_297483	9606_55164	9606_55164
10090_81630	10116_309630	9606_9278
10090_12511	10116_100911366	10116_25752	9606_923
9606_23619
10090_94230	10116_366952	9606_29894	9606_29894
10090_22169	10116_314004	9606_129607
10090_234135	10116_290831	9606_54904
10090_17129	10116_59328	9606_4090
10090_18636	10116_299314	9606_5199
10090_11614	10116_58850	9606_190
10090_16816	10090_192654	10116_361401	10116_24530	9606_23659	9606_3931
10090_59049	10116_305886	9606_51310
10090_237256	10116_308266	9606_340152
10090_245050	10116_316090	9606_729085
10090_320557	10090_320557	10116_310013	10116_310013	9606_26049
10090_27399	10116_50560	9606_9807
10090_12892	10116_304024	9606_1371
10090_12532	10116_307511	9606_995
10090_378700	10116_499924	9606_359710
10090_59079	10116_365661	9606_55914
10090_71740	10116_498281	9606_81607
10090_17342	10090_17342	10090_209446	10116_25094	10116_317376	9606_4286	9606_4286	9606_7030
10090_18260	10116_83497	9606_100506658
10090_107527	10116_171106	9606_8808
10090_54194	10116_299569	9606_26993
10090_72179	10090_72194	10116_363156	10116_64039	9606_25827	9606_84961
10090_71761	10116_299735	9606_144193
10090_73694	10116_298748	9606_55471
10090_208266	10116_362831	9606_84444
10090_320106	10116_362141	9606_151258
10090_71828	10116_316711
10090_74013	10116_363231	9606_130132
10090_21941	10116_25069	9606_943	9606_943
10090_268291	10116_292188	9606_154214
10090_104383	10116_305811	10116_102552640	9606_283248
10090_58803	10116_108348129	10116_60372
10090_12036	10116_64203	9606_587
10090_353204	10090_11674	10090_79459	10116_24189
10090_58245	10116_306165	9606_160897
10090_67399	10116_286908	9606_9260
10090_69150	10116_360725	9606_8723
10090_210673	10116_502873	9606_285368	9606_285368
10090_66756	10116_306469	9606_57587
10090_22217	10090_69727	10116_360763	10116_100912059	10116_289584	10116_289584	10116_501659	9606_64854	9606_219333
9606_80227
10090_232087	10090_11720	10116_171347	10116_25331	9606_4144	9606_4143
10090_67089	10116_289990	9606_5706
10090_21907	10116_684085	9606_7101
10090_16825	10116_309447	9606_8861
10090_209018	10116_287990	10116_287990	9606_23355
10090_75812	10116_311468	9606_55617	9606_55617
10090_12154	10116_500245	9606_27302
10090_12457	10116_310395	9606_25819
9606_346007
10090_22341	10116_114111	9606_7424
10090_12448	10116_362485	9606_9134
10090_170734	10116_292566	9606_342933	9606_649137	9606_79149
10090_22185	10116_308335	9606_11338
10090_434341	10116_102553150	10116_291861	9606_84166
10090_237253	10090_237253	10116_292462	9606_84918
10090_71742	10116_691171	9606_25989
10090_16515	10116_117052	9606_100134444	9606_3768
10090_100503884	10116_688939	9606_91050
10090_66713	10116_289820	9606_10097
10090_17988	10116_299923	9606_10397
10090_22295	10116_114102	9606_64072	9606_64072
10090_20983	10116_64440	9606_6860
10090_239857	10116_360687	9606_253559	9606_253559	9606_253559	9606_253559
10090_13618	10116_50672	9606_1910
10090_102633750
10090_77622	10116_289662	10116_317628	9606_27301
10090_24116	10116_305455	9606_7469
10090_232889	10116_691813	10116_108348107	10116_691810	9606_8605
10090_67154	10116_170910	9606_92140
10090_238880	10116_294732	9606_345651
10090_67456	10090_67456	10116_297728	9606_51290
10090_106557	10116_369018	9606_160287	9606_92483
10090_112403	10116_361799	9606_1797
10090_64293	10090_57740	10090_269019	10116_365381	10116_305431	10116_364858	9606_55351	9606_55351	9606_202374	9606_282974
10090_56357	10116_24513	9606_3712
10090_71699	10116_641603	9606_54946
10090_13097	10090_13095	10090_13099	10090_226105	10090_100043108	10090_72303	10090_545288	10090_72082	10090_433247	10090_404195	10090_13098	10090_107141	10090_13096	10090_69888	10116_29298	10116_171518	10116_499353	10116_29277	10116_100361547	10116_29277	10116_29298	10116_293989	10116_171521	9606_1562	9606_1559	9606_1557	9606_1558
10090_20539	10116_50719	9606_8140
10090_54562	10116_299920	9606_23639
10090_68428	10116_170824	9606_55240	9606_55240
10090_245474	10116_170944	9606_1736
10090_60504	10116_308977	9606_50615
9606_8227
10090_12842	10116_29393	9606_1277
10090_94332	10116_360882	9606_57863
10090_109697	10090_74649	10116_408212	10116_24269	9606_1357	9606_93979
10090_331524	10116_497101	9606_150165	9606_402415	9606_402415
10090_15562	10116_25324	9606_3360	9606_3360
10090_208211	10116_360475	9606_56052
10090_269116	10116_116690	9606_23114	9606_23114
10090_20527	10116_25551	10116_100909595	9606_144195	9606_6515
10090_382010	10116_290722	9606_80817
10090_234463	10116_291946	9606_55751
10090_237761	10116_497903	9606_134548
10090_51810	10090_51810	10116_117280	9606_3192
10090_195727	10116_317494	10116_317494	10116_317494	9606_4810	9606_4810	9606_4810
10090_232174	10090_546726	10116_308190	10116_312495	9606_56603	9606_340665
10090_80285	10116_303905	9606_83666
10090_170442	10116_64564	9606_8424
10090_100163	10116_313611	9606_5051
10090_16889	10116_25055	9606_3988
10090_22337	10090_18171	10116_24873	10116_84385	9606_8856	9606_8856	9606_7421
10090_75811	10090_330577	10116_293061	10116_679802	10116_317471	9606_158297	9606_283726
10090_353287	10116_307851	9606_497190	9606_348174	9606_283971
10090_235036	10116_298699
10090_14560	10116_79216	9606_2662
9606_388199
10090_70325	10116_378774	9606_284098
10090_55981	10116_315807	9606_9488
10090_235461	10116_363089	10116_363089	9606_54629
10090_29806	10116_316101	9606_8994
10090_11461	10090_11465	10116_100361457	10116_287876	10116_81822	10116_684969	9606_60	9606_71
10090_56032	10116_363138	9606_10641
10090_68961	10090_68961	10116_140671	9606_5261
10090_268379	10116_289797	9606_154664
10090_57750	10116_363237	9606_55759
10090_232187	10116_312503	9606_10322
10090_71063	10116_266774	9606_146434
10090_66622	10116_314399	9606_55148
10090_171180	10116_191595	9606_91683
10090_73680	10116_313049	9606_653121
10090_17381	10116_117033	9606_4321
10090_70435	10116_362790	9606_64423
10090_13199	10116_25113	9606_23109
10090_18139	10090_18139	10116_312491	10116_312491	9606_27332
10090_218203	10116_306825	9606_29116	9606_29116
10090_381038	10116_287979	9606_55486
10090_15445	10116_29531	9606_3242
9606_6947
10090_321006	10116_315987	9606_9730
10090_18230	10116_360577	9606_64359
10090_231868	10116_683674	9606_79034
10090_331531	10090_666040	10090_621322	10090_75829	10090_83565	10090_331529	10090_100040635	10116_503465	10116_503466	10116_680000	10116_100910698	10116_503464
10090_54411	10116_83615	9606_537
10090_74362	10116_690746	9606_200162
10090_14345	10116_60670	9606_2526
10090_214987	9606_54921
10090_104681	10116_303772
10090_378937	10116_362945	9606_441381
10090_229534	10116_310644	9606_57326
10090_225010	10116_362702	9606_253558
10090_232984	10116_308440	9606_374907
