rat	mouse
293435	258729
293439	258729
293431	258729
293389	258729
405923	258729
499237	258729
499238	258729
293394	258729
405924	258729
293400	258729
405363	258729
404988	258729
404986	258729
404989	258729
405291	258729
293429	258729
366114	258984
295865	258984
295862	258984
404830	258984
60334	56205
361059	67179
102549542	170439
171402	170439
684558	19704
308993	20768
282546	239985
641621	629114
404280	68041
312371	78937
64035	110095
84416	66106
494309	665525
494253	665525
494252	665525
494259	665525
494292	665525
494292	665525
494260	665525
494302	665525
494312	665525
494236	665525
494229	665525
494283	665525
494225	665525
494298	665525
102551504	665525
494267	665525
494279	665525
494246	665525
299649	665525
494266	665525
108348087	665525
494256	665525
494237	665525
494258	665525
100362068	665525
494231	665525
494300	665525
494288	665525
494299	665525
494287	665525
494297	665525
108348118	240028
171105	240028
309227	240549
404814	258370
404813	258370
405239	258370
404817	258370
405954	258370
404816	258370
366113	258370
295900	258370
295910	258370
404815	258370
404818	258370
295907	258370
405953	258370
688405	52004
292381	66643
289745	67900
29484	20532
294154	224647
290002	258313
290003	258313
685001	269637
360478	432995
311332	54485
365769	60505
316432	70375
24679	19088
29699	19088
362851	54219
360202	77057
299587	12365
292804	14751
684173	22033
360576	237858
140725	54377
361384	81489
308790	108797
363516	11666
310643	13639
171164	14469
304266	14469
246153	268345
292007	64340
691306	73893
100909438	259025
404977	259025
404970	259025
108352221	259025
287487	259025
404976	259025
287496	259025
404971	259025
287501	259025
100909493	259025
687896	259025
363639	259025
404975	259025
287481	259025
287506	259025
287489	259025
287489	259025
680358	259025
287484	259025
404969	259025
287480	259025
108348032	259025
287502	259025
404968	259025
100909534	259025
363640	259025
303296	259025
687881	259025
404972	259025
687893	259025
84013	56348
291091	66222
171371	16963
116682	70789
290541	71704
290541	71704
29199	15216
103690002	232440
680322	232440
690795	232440
681943	382620
25488	68202
362401	74122
501116	13690
361628	13690
58924	14344
308586	14344
362895	237611
292577	446099
292545	446099
499234	446099
365184	446099
499069	446099
100912013	446099
361645	67711
100359687	94061
289491	94061
289020	16980
360652	330222
304297	330222
316624	70788
690349	102308570
84474	104721
266688	17274
117103	17274
498805	208967
100360571	382239
287159	14755
78960	19153
305711	258387
364275	258387
499846	320554
64322	223453
313551	230696
685170	277343
309147	67689
688778	67689
500638	104943
290212	13644
361435	14087
308690	17984
363707	217337
405043	258918
292561	258918
292563	258918
365175	258918
100910456	258918
292560	258918
292572	628475
171441	68090
300029	72960
292594	14727
114103	16192
309629	14976
688297	18588
114248	18588
81801	20855
296541	54448
502902	56644
290280	57258
502759	18291
405326	258485
311959	27407
296587	52838
266808	71710
500281	74729
679894	100042165
313308	100042165
310091	268706
100909537	434232
315870	76365
303542	80860
58812	30878
406868	114585
365960	54120
315434	56503
309031	67143
286921	67861
116463	67861
100910708	67861
296972	67861
301517	104086
114124	11640
81663	14674
303634	14674
362628	242700
362092	67382
80977	80976
100362915	100503355
170928	117148
50645	11891
84590	11891
362141	320106
298227	66902
66029	15930
304988	15951
304987	15951
102556096	15951
116831	17178
292915	20859
24912	20859
100912485	20859
24902	20859
361510	20859
361510	20859
81765	270106
171553	215493
81733	54003
81734	54003
317546	66724
691113	68364
494538	110187
494528	110187
494527	110187
60373	55989
362483	67157
362483	67157
25195	13492
295769	258725
302172	331416
25294	12007
308362	170936
58845	18518
287612	380718
301079	66202
361671	101631
680991	103733
252921	103733
140926	13163
499951	14464
83633	242425
313620	51796
100362333	59001
298098	59001
293665	70605
290685	74419
305830	78938
304445	319804
499356	17060
363045	22619
64443	64378
500349	93746
499380	13796
500235	13796
25595	17756
309666	328795
366848	80880
60584	16878
25631	17127
171151	217593
494265	24112
494310	24112
102547820	24112
286892	24112
494295	24112
286956	24112
266803	66042
81745	18607
287422	18626
103689934	217366
688318	217366
100909522	545649
316342	623661
100360841	100502825
100360781	100502825
81770	100502825
116721	27416
432393	433619
498185	170756
317423	207375
291060	67797
300189	71919
365153	100041586
362424	319776
171121	56420
171366	56420
500622	67864
362699	67864
687399	69528
81920	56550
641452	56550
689801	639781
313485	639781
116499	14175
298213	15965
298210	15965
298205	15965
100912356	15965
690894	15965
310738	18049
497961	18099
116650	24067
100360076	353167
689869	353167
100310886	353167
690481	353167
100310875	353167
294568	83767
171106	107527
301737	14158
363686	227580
680404	227580
688502	381813
60421	381813
682419	638102
116665	68703
288447	231915
296511	11695
295672	14231
690195	170952
117061	17384
171045	17384
25742	20203
171015	266690
498606	75620
360796	94254
311051	227933
311051	227933
300222	51812
293888	67759
171575	13423
303414	13861
362443	17057
25192	17057
683758	17057
689817	17057
405319	258412
405940	258586
289727	269642
363187	64657
24158	11364
84480	12176
308064	74470
498791	83428
25376	11698
29141	14419
294303	328789
497196	433292
499240	57355
311224	74569
287191	104458
60460	15512
308410	20167
289561	231329
293753	170813
81707	17387
404794	258439
365668	72198
83784	268782
307645	382045
102551846	385674
300944	24127
100911537	24127
100361238	320292
100361238	320292
363327	106639
306375	234356
58954	23849
404875	258840
295786	258840
366102	258840
404877	258840
295781	258840
366100	258840
295776	258840
404878	258840
304735	66343
360726	69823
691215	77883
315119	17305
64120	217826
64119	217826
293271	259126
293255	259126
293130	68197
64014	80915
25478	17158
83613	18039
290561	21924
304554	56747
296119	69185
500876	102634296
100361265	102634296
102553785	102634296
276720	211480
116466	22414
690343	434178
246042	67949
501560	20112
117269	20112
81771	20112
295417	213603
297380	243510
103692170	243510
313725	269604
293198	258837
293197	258837
54308	20874
29495	13385
29495	13385
140635	14255
364018	17970
679989	71841
682908	100088
29443	11615
266603	56847
500251	232210
307973	23854
498406	64660
680860	223650
299510	320080
56823	107766
282825	22666
114004	68458
311631	71971
367909	66684
499848	211936
100910755	70432
690777	70432
295446	271981
295798	404327
103689989	18775
100911206	18775
103690150	18775
24282	18775
691552	18775
53950	18775
310658	229584
301365	16182
287436	13681
362564	67621
81774	27207
257634	16869
124451	16869
29462	26361
100909648	26361
683007	338366
307271	240396
78976	114229
305842	78416
103694852	78416
289525	13801
361921	13605
312365	330323
100360457	54418
293947	73910
100359692	319186
303175	319186
691488	319186
682988	67219
117179	16433
300438	16835
64025	18106
308129	70337
317213	382236
310631	72640
689625	107375
94106	16820
65039	16820
100911507	16820
502611	16820
83466	107934
337868	17927
100360117	26961
26962	26961
108348142	26961
314030	238123
308901	20821
114524	18208
114523	18208
294559	18302
302808	224454
499014	224454
307913	382034
307913	382034
66022	16539
690229	107071
315758	74388
364754	14370
317674	14370
100909849	14370
300981	109652
300635	259110
297173	67653
498073	69339
64466	12705
303002	215445
108348323	213084
60396	213084
305610	237711
444982	237711
299488	52635
314634	78670
681096	385658
363255	52231
313030	100336
288038	30060
25597	114713
24650	18763
690253	225655
94342	224727
252959	627872
252959	627872
252893	627872
117249	627872
294709	66975
308099	68655
171565	70527
293278	259124
293279	259124
405003	259124
100360647	14109
29752	14109
687780	14109
691398	64290
103692168	16815
500224	16815
691398	14240
100360679	20084
294282	20084
60398	14198
84347	12300
362443	232408
25192	232408
683758	232408
689817	232408
299159	73834
309280	18846
192649	246313
192648	246313
295766	258583
404880	258583
295767	258583
405251	258583
404885	258583
100912540	258583
404884	258583
295763	258583
405252	258583
404887	258583
100912505	258583
404881	258583
100909831	258583
292101	244666
293615	64384
59112	15110
171028	192113
295750	259019
100909940	259019
295759	259019
84359	13368
25051	14652
66026	63873
287642	110172
302670	22184
498425	22184
363886	66455
365657	218518
498154	73212
498154	73212
89791	26562
314586	73451
307180	69672
306825	218203
100359692	319181
303175	319181
691488	319181
29747	16533
56824	112419
294090	112419
366360	329828
311630	67538
690728	71177
315673	244882
295766	258403
404880	258403
295767	258403
405251	258403
404885	258403
100912540	258403
404884	258403
295763	258403
405252	258403
404887	258403
100912505	258403
404881	258403
100909831	258403
94167	11758
500007	77036
294286	16580
405117	258953
498418	103784
65137	56505
295090	56544
266778	56544
494520	70772
499618	320604
24521	56379
100910508	22701
316640	66615
316640	66615
24346	13897
100125372	13897
679817	13897
113902	13897
171406	67310
310664	229589
361733	64381
407761	100126226
407760	100126226
691484	71151
100912416	232748
680422	232748
100912372	232748
500798	237397
291164	544922
315496	320752
315496	320752
300461	320752
300461	320752
100911233	67500
361849	67500
361927	14359
100366044	14359
78975	108079
362969	319953
25239	11815
300074	75729
404869	259030
684439	52504
294027	12821
192259	665270
690848	66594
25056	19659
300197	239652
500688	11498
57022	11498
304655	212168
287508	258705
83527	13169
24493	16175
364206	56193
100363436	330390
295721	258564
295728	258564
310288	12807
311536	69698
690326	102638913
308968	19647
100909521	381677
29461	381677
367092	56380
100911668	15395
103692129	15395
100912608	15395
296001	258390
691368	258390
404804	258390
303277	276846
171109	240672
307366	240354
678880	553127
679038	553127
313365	67694
361438	104346
100910460	381522
405911	18369
293262	18369
367318	404545
366138	241576
500354	320135
25501	18231
114495	26397
303200	26397
108348082	26397
500432	67652
102547056	379043
502217	379043
100910848	379043
314322	14281
689712	67366
89783	16792
89783	16792
296750	72772
679802	75811
317471	75811
297561	19365
59319	228361
360868	106489
292305	106489
298049	258857
500460	258857
362902	223499
103693419	69802
690300	69802
300635	259112
688717	380773
315496	244745
300461	244745
192172	22117
25274	22117
361035	56335
406168	56299
406168	56299
295766	257880
404880	257880
295767	257880
405251	257880
404885	257880
100912540	257880
404884	257880
295763	257880
405252	257880
404887	257880
100912505	257880
404881	257880
100909831	257880
84430	99011
293655	17995
360491	224619
364973	212989
305354	21897
305353	21897
360627	14230
300968	66663
316318	21755
102554718	21755
363215	21755
680378	21755
114589	53870
116658	53870
27256	53870
54279	53870
25033	20605
25135	17975
497916	237781
295766	258402
404880	258402
295767	258402
405251	258402
404885	258402
100912540	258402
404884	258402
295763	258402
405252	258402
404887	258402
100912505	258402
404881	258402
100909831	258402
688459	71583
64120	210741
64119	210741
306332	11767
405137	258649
405134	258649
362849	224703
404811	258790
295917	258790
404812	258790
78980	387347
296345	59091
292884	243963
295766	259022
404880	259022
295767	259022
405251	259022
404885	259022
100912540	259022
404884	259022
295763	259022
405252	259022
404887	259022
100912505	259022
404881	259022
100909831	259022
296610	69987
309164	18426
25123	21345
100366017	22194
291656	93892
680203	93892
548104	93892
307487	93892
498843	93892
548106	93892
108348201	93892
498136	77521
294299	21678
29213	22151
29214	22151
296554	22151
498736	22151
291081	22151
306307	57811
311387	317750
100909937	235256
100910086	235256
300616	235256
100910548	235256
315573	235256
100910153	235256
300589	235256
103690273	235256
100910227	235256
100910363	235256
100909958	235256
498159	236576
294009	67116
78961	66629
192107	76560
363272	18582
500199	69956
298906	217430
362102	110854
29331	12950
301124	224904
363518	97243
289482	97243
100909833	97243
498890	97243
117241	117109
309548	56392
311598	71878
295401	229791
498415	53604
362769	217830
363781	433022
310681	69585
83569	27413
683593	57748
679805	75033
307302	225523
499732	74435
83501	12558
498575	15209
29603	12041
367304	252903
24851	22003
294337	12833
361821	12833
25619	18792
691337	232533
311703	252966
310034	19356
500950	244713
296884	170772
26295	108155
114215	16336
64533	103711
290551	218865
362383	19895
363720	68942
500899	69572
300250	16678
296558	99152
367021	72826
295090	100125586
266778	100125586
305269	56792
306805	66695
103690027	66695
314128	72658
494346	66390
300284	320302
287968	258443
29282	100862455
689176	100201
29326	14776
311115	68795
245924	224432
102551660	225898
360754	140482
360816	231691
25044	231691
313058	230775
171574	13429
171574	13429
25751	13429
140694	13429
291850	73407
171574	13430
171574	13430
25751	13430
140694	13430
361057	18130
64551	235072
100910754	235072
25024	381853
687633	117146
362726	380753
685716	100047671
685767	100047671
686030	102637189
103689989	215029
100911206	215029
103690150	215029
24282	215029
691552	215029
53950	215029
81820	13447
300560	258372
405099	258372
498002	100041953
290284	100041953
365493	78832
25694	15117
292755	233038
292755	233038
306505	244421
292905	15464
304885	215015
362958	27008
500316	54137
310727	630146
303685	60441
29631	12068
312495	232174
296001	258389
691368	258389
404804	258389
688884	269053
405911	18370
293262	18370
362323	71238
361308	19348
25356	21367
689008	14119
362409	58911
303468	20391
498695	75731
100529260	108857
316318	21756
102554718	21756
363215	21756
680378	21756
363136	56395
100912441	56395
103694848	56395
100911463	56395
100910557	56395
103694836	56395
681123	66119
192675	140475
499967	242891
102553845	242891
360629	107569
312373	107569
100912936	15437
685082	57908
100359692	319179
303175	319179
691488	319179
305941	24052
497892	24052
364605	24052
300414	258515
405178	258515
405185	258515
405174	258515
686748	258515
405172	258515
405183	258515
361065	57784
497944	193043
84478	22230
365216	260299
24688	19132
100360342	17688
289587	231296
295090	637004
266778	637004
100360623	544963
301543	433323
306262	26363
252959	381917
252959	381917
252893	381917
117249	381917
300691	21743
368066	21743
311144	16401
300414	258249
405178	258249
405185	258249
405174	258249
686748	258249
405172	258249
405183	258249
60630	107449
25533	19352
314480	56696
691209	107723
192172	246221
25274	246221
502894	319801
116500	67474
100359753	436022
292064	53325
691051	83491
27064	107765
314300	71952
295766	258844
404880	258844
295767	258844
405251	258844
404885	258844
100912540	258844
404884	258844
295763	258844
405252	258844
404887	258844
100912505	258844
404881	258844
100909831	258844
691139	347712
679504	210035
317270	215641
499349	72514
100302447	66272
298306	242603
363687	52686
690764	258551
100911583	258551
405164	258551
405373	258551
116691	19157
100360640	69307
65984	78894
364994	71854
291984	71854
50561	19711
292747	237730
363563	237730
315073	16469
297968	433693
362447	94071
312745	94071
689853	94071
296600	227659
297029	76263
301034	17002
498846	93709
553129	93709
113965	15107
289440	384214
312398	13990
362368	110175
499929	228839
363577	16428
363577	16428
84469	94275
290009	258657
290001	258657
290008	258657
299707	67282
364754	14367
317674	14367
100909849	14367
498034	63828
500761	103161
362196	69065
685433	14017
291926	213435
25128	22242
103689989	215028
100911206	215028
103690150	215028
24282	215028
691552	215028
53950	215028
103693776	52915
289783	52915
114513	19418
296349	76080
682138	100048658
116711	26368
24257	26368
79215	14489
405246	258639
686641	258639
494345	56426
361788	75210
361788	75210
24346	234564
100125372	234564
679817	234564
113902	234564
679932	18232
691418	623781
498866	78414
316033	12091
114524	18209
114523	18209
362481	252838
498002	20220
290284	20220
313742	230936
367067	258607
300625	258607
304978	12847
83630	18506
288785	14533
361794	18038
303337	268451
300414	258559
405178	258559
405185	258559
405174	258559
686748	258559
405172	258559
405183	258559
685201	277345
498404	104479
84581	15185
108348065	15185
316052	13813
309255	233315
24334	13807
100911625	13807
499891	228602
361957	66868
56824	15957
294090	15957
294337	12834
361821	12834
296285	99311
308516	52428
686106	241943
295766	258235
404880	258235
295767	258235
405251	258235
404885	258235
100912540	258235
404884	258235
295763	258235
405252	258235
404887	258235
100912505	258235
404881	258235
100909831	258235
685203	67080
282837	58249
298518	12986
303742	71885
305837	219022
313053	213541
29213	227613
29214	227613
296554	227613
498736	227613
291081	227613
363633	20020
405137	258270
405134	258270
498699	100040926
405137	258650
405134	258650
29680	13070
286927	20872
29219	20617
290009	258659
290001	258659
290008	258659
58853	18124
314075	67452
291656	93891
680203	93891
548104	93891
307487	93891
498843	93891
548106	93891
108348201	93891
140594	27359
103689936	60321
297695	60321
305861	74385
501617	74448
291921	80750
301489	94227
307852	319518
405919	259161
293340	259161
305941	244431
497892	244431
364605	244431
295090	319217
266778	319217
303689	217342
29454	14561
363212	320705
363093	17427
305610	319670
444982	319670
298342	67050
29560	15251
296358	17183
25017	17918
304507	246730
494199	246730
100910735	246730
246268	246730
192281	246730
680912	16532
493574	75847
305332	77569
407757	77055
362297	381626
363228	56363
78959	58810
25624	22317
100910107	384701
689730	384701
295690	66861
117514	56338
294973	229211
24917	16211
170921	16398
405060	257932
405059	257932
25410	110794
293526	11907
293526	11907
289881	13486
100910207	13486
24645	72157
367323	67993
297783	17864
308405	13400
690286	217082
500102	76156
685697	109115
364994	319446
291984	319446
366988	668218
305710	674895
362539	77739
308787	77739
295751	258575
100911734	53413
64632	53413
84582	56233
100310874	75317
308637	233246
691125	320571
299208	320244
500441	73721
361344	225651
685716	208166
685767	208166
308836	233529
287405	338369
301351	72097
363040	20443
295090	637053
266778	637053
308572	71960
290566	239017
29624	11690
364681	218215
290291	69008
500980	75667
83510	26394
362151	69605
681578	24017
315652	100502940
100361138	110524
502091	68867
298394	29845
405207	29845
298733	29845
103692344	29845
361641	67417
685245	67417
116711	114871
24257	114871
294210	22670
309586	22670
306147	76965
299194	77219
353307	71279
80722	74499
60464	14180
66017	14180
25444	14180
502316	72556
295496	108943
79253	11567
690849	258552
405337	258552
405158	258552
103693025	258552
100359873	258552
690821	258552
499265	78118
500575	213491
307745	214627
683512	56046
362171	72446
293408	56422
292301	20997
308325	23968
364827	328918
303497	71240
312030	72193
288489	57782
288486	57782
312213	18845
289392	18845
29416	23923
690308	76265
102552195	102636554
100910107	381944
689730	381944
300743	235416
302248	18074
363006	21357
29694	14408
29695	14408
64526	51798
102552996	105242467
100270669	66353
309200	109077
684709	240817
664710	240817
364021	240817
691157	665943
297525	67027
289080	19731
494309	171241
494253	171241
494252	171241
494259	171241
494292	171241
494292	171241
494260	171241
494302	171241
494312	171241
494236	171241
494229	171241
494283	171241
494225	171241
494298	171241
102551504	171241
494267	171241
494279	171241
494246	171241
299649	171241
494266	171241
108348087	171241
494256	171241
494237	171241
494258	171241
100362068	171241
494231	171241
494300	171241
494288	171241
494299	171241
494287	171241
494297	171241
29155	12335
304530	330177
498333	140780
25506	18453
501721	100041488
501720	100041488
680152	100041488
680136	100041488
363551	20234
288475	53324
364634	329942
314942	329942
313040	329942
307296	269023
498666	24099
494309	171239
494253	171239
494252	171239
494259	171239
494292	171239
494292	171239
494260	171239
494302	171239
494312	171239
494236	171239
494229	171239
494283	171239
494225	171239
494298	171239
102551504	171239
494267	171239
494279	171239
494246	171239
299649	171239
494266	171239
108348087	171239
494256	171239
494237	171239
494258	171239
100362068	171239
494231	171239
494300	171239
494288	171239
494299	171239
494287	171239
494297	171239
299604	216151
64036	13136
292912	69903
363674	217154
498902	97487
291005	23882
25112	23882
494309	100042437
494253	100042437
494252	100042437
494259	100042437
494292	100042437
494292	100042437
494260	100042437
494302	100042437
494312	100042437
494236	100042437
494229	100042437
494283	100042437
494225	100042437
494298	100042437
102551504	100042437
494267	100042437
494279	100042437
494246	100042437
299649	100042437
494266	100042437
108348087	100042437
494256	100042437
494237	100042437
494258	100042437
100362068	100042437
494231	100042437
494300	100042437
494288	100042437
494299	100042437
494287	100042437
494297	100042437
288257	60364
245986	14709
295475	11924
294962	14696
363585	259069
405985	259069
287247	259069
405987	259069
405984	259069
405983	259069
405986	259069
287245	259069
287241	259069
405991	259069
287240	259069
405990	259069
688146	237926
691903	387586
102551192	387586
103690782	387586
103690782	387586
102551397	387586
24677	19064
311840	68205
288306	74112
690746	74362
365601	11793
24842	22059
100910954	22059
499878	67532
100361104	78809
501033	209743
684709	240819
664710	240819
364021	240819
24899	17235
500244	269774
297433	319655
252880	107751
690853	11302
499657	229550
500679	19363
302953	52864
311731	74616
312721	101320
362721	380752
310820	56195
100911581	14073
29347	14073
680923	102640920
317235	108672
308650	56258
60399	94226
360459	67254
691903	436188
102551192	436188
103690782	436188
103690782	436188
102551397	436188
29586	14622
363122	235542
299818	66225
100911956	66225
367153	68121
25402	12367
494309	171238
494253	171238
494252	171238
494259	171238
494292	171238
494292	171238
494260	171238
494302	171238
494312	171238
494236	171238
494229	171238
494283	171238
494225	171238
494298	171238
102551504	171238
494267	171238
494279	171238
494246	171238
299649	171238
494266	171238
108348087	171238
494256	171238
494237	171238
494258	171238
100362068	171238
494231	171238
494300	171238
494288	171238
494299	171238
494287	171238
494297	171238
300627	258604
100362319	258604
300624	258604
405076	258604
24924	19242
687008	110821
24684	19116
501721	71453
501720	71453
680152	71453
680136	71453
301073	74770
29278	16796
691455	75600
81670	76282
64314	12366
25318	14272
291703	13872
299643	66416
304470	243272
294273	15000
108348139	15000
499108	170742
24788	20322
171108	140795
25640	21410
58958	54563
252916	72433
494309	171234
494253	171234
494252	171234
494259	171234
494292	171234
494292	171234
494260	171234
494302	171234
494312	171234
494236	171234
494229	171234
494283	171234
494225	171234
494298	171234
102551504	171234
494267	171234
494279	171234
494246	171234
299649	171234
494266	171234
108348087	171234
494256	171234
494237	171234
494258	171234
100362068	171234
494231	171234
494300	171234
494288	171234
494299	171234
494287	171234
494297	171234
171378	19055
24675	19055
24674	19055
317533	245492
317533	245492
25663	16177
363585	259068
405985	259068
287247	259068
405987	259068
405984	259068
405983	259068
405986	259068
287245	259068
287241	259068
405991	259068
287240	259068
405990	259068
312182	68272
25349	72821
314615	50701
299606	50701
686677	117005
686683	117005
404855	117005
286921	11997
116463	11997
100910708	11997
296972	11997
365326	259113
361705	72978
690252	72978
171086	70827
29301	15109
363585	258463
405985	258463
287247	258463
405987	258463
405984	258463
405983	258463
405986	258463
287245	258463
287241	258463
405991	258463
287240	258463
405990	258463
500911	68607
362343	243771
367072	69632
306647	101994
293886	67072
363585	404337
405985	404337
287247	404337
405987	404337
405984	404337
405983	404337
405986	404337
287245	404337
287241	404337
405991	404337
287240	404337
405990	404337
500945	69325
116646	22070
100126191	76308
102555167	76308
290359	328440
494309	171224
494253	171224
494252	171224
494259	171224
494292	171224
494292	171224
494260	171224
494302	171224
494312	171224
494236	171224
494229	171224
494283	171224
494225	171224
494298	171224
102551504	171224
494267	171224
494279	171224
494246	171224
299649	171224
494266	171224
108348087	171224
494256	171224
494237	171224
494258	171224
100362068	171224
494231	171224
494300	171224
494288	171224
494299	171224
494287	171224
494297	171224
499971	231045
289810	57316
298031	634731
29374	12464
691099	70956
498033	70956
298576	68350
691275	75773
313837	70536
100362169	105511
685007	381058
315427	75747
691903	631002
102551192	631002
103690782	631002
103690782	631002
102551397	631002
309002	244219
499445	270711
64302	67891
366998	18022
301085	17281
691903	67985
102551192	67985
103690782	67985
103690782	67985
102551397	67985
89814	22164
289934	71147
300724	71999
29387	18781
494338	217069
170465	52538
100910977	23793
310376	245269
83610	11784
689582	244694
108348070	244694
500944	244694
317377	54648
100913013	667281
298475	258265
298478	258265
298474	258265
298476	258265
405110	258265
405961	258265
679789	258265
405111	258265
307715	64379
25145	12484
300884	666731
79429	54635
24370	15228
25321	14602
501721	100041412
501720	100041412
680152	100041412
680136	100041412
499353	13095
293989	13095
29298	13095
29298	13095
29277	13095
29277	13095
100361547	13095
360750	20300
29643	75209
494309	628946
494253	628946
494252	628946
494259	628946
494292	628946
494292	628946
494260	628946
494302	628946
494312	628946
494236	628946
494229	628946
494283	628946
494225	628946
494298	628946
102551504	628946
494267	628946
494279	628946
494246	628946
299649	628946
494266	628946
108348087	628946
494256	628946
494237	628946
494258	628946
100362068	628946
494231	628946
494300	628946
494288	628946
494299	628946
494287	628946
494297	628946
316090	245050
308760	269955
57302	12802
679886	75608
691903	668976
102551192	668976
103690782	668976
103690782	668976
102551397	668976
301121	19725
361746	19725
297342	232089
303905	80285
308589	56632
85271	22786
296304	108687
296134	77721
312320	140488
685007	667055
360655	100043125
100361633	100043125
287818	100043125
501740	100043125
60661	17187
317409	76976
680782	76976
100360464	76976
24565	17250
140668	17250
81642	17250
100912948	17250
295743	257916
300627	258605
100362319	258605
300624	258605
405076	258605
363198	83815
362277	81018
293415	56786
363494	11605
494309	171232
494253	171232
494252	171232
494259	171232
494292	171232
494292	171232
494260	171232
494302	171232
494312	171232
494236	171232
494229	171232
494283	171232
494225	171232
494298	171232
102551504	171232
494267	171232
494279	171232
494246	171232
299649	171232
494266	171232
108348087	171232
494256	171232
494237	171232
494258	171232
100362068	171232
494231	171232
494300	171232
494288	171232
494299	171232
494287	171232
494297	171232
298288	230558
313421	230558
117512	230558
117517	230558
24237	230558
499353	72082
293989	72082
29298	72082
29298	72082
29277	72082
29277	72082
100361547	72082
309859	268297
25302	11441
81710	17702
25483	17702
64036	13137
29172	11833
303823	71751
691170	72128
289250	258713
83840	72508
25149	13983
501630	245631
301008	74443
691099	73679
498033	73679
688828	73532
363129	73532
297699	20901
100910575	20901
294241	68468
687565	68184
310635	16800
691903	278174
102551192	278174
103690782	278174
103690782	278174
102551397	278174
289372	226830
292069	66965
309097	52389
494309	252910
494253	252910
494252	252910
494259	252910
494292	252910
494292	252910
494260	252910
494302	252910
494312	252910
494236	252910
494229	252910
494283	252910
494225	252910
494298	252910
102551504	252910
494267	252910
494279	252910
494246	252910
299649	252910
494266	252910
108348087	252910
494256	252910
494237	252910
494258	252910
100362068	252910
494231	252910
494300	252910
494288	252910
494299	252910
494287	252910
494297	252910
688553	626870
286921	14187
116463	14187
100910708	14187
296972	14187
100911453	70465
310769	70465
498183	17165
691903	387131
102551192	387131
103690782	387131
103690782	387131
102551397	387131
294287	21652
316005	23807
300689	104444
291541	12683
117017	67710
170919	28169
294324	28169
298475	258306
298478	258306
298474	258306
298476	258306
405110	258306
405961	258306
679789	258306
405111	258306
84486	81898
24667	19043
308759	101869
689484	14300
689484	14300
686103	14300
686103	14300
100911818	329918
361415	75465
291996	67619
365864	22156
289240	258881
289241	258881
294133	276742
294125	276742
494535	276742
294126	276742
308650	59013
100362733	54396
24631	18617
499731	209584
366669	319565
100365872	108112
29492	18129
291637	93713
500368	67420
293173	67420
494309	171235
494253	171235
494252	171235
494259	171235
494292	171235
494292	171235
494260	171235
494302	171235
494312	171235
494236	171235
494229	171235
494283	171235
494225	171235
494298	171235
102551504	171235
494267	171235
494279	171235
494246	171235
299649	171235
494266	171235
108348087	171235
494256	171235
