human	mouse
54931	52575
135892	215061
3552	16175
54472	54473
1785	13429
1785	13430
1785	13430
1785	103967
1785	103967
1785	103967
390265	259110
390265	259112
390265	259109
290	16790
55066	319518
8348	319186
8348	319181
8348	319179
8348	319188
8348	319184
8348	319180
8348	319183
8348	68024
8348	78303
8348	319187
8348	319185
2079	13877
79746	67856
89978	66632
54878	74388
57693	244713
219477	259019
219477	404325
219477	259082
219473	258583
219473	258403
219473	257880
219473	258402
219473	259022
219473	258844
219473	258235
219473	404473
219473	258843
219473	259014
219473	258386
219473	259021
219473	258401
219473	257933
219473	258404
219473	258400
4837	21743
4837	18113
7090	21887
9588	11758
9588	320769
440193	68339
5884	19356
57713	353282
58487	233490
199731	260299
1404	12950
26281	14180
26281	80857
26281	80903
51693	59005
8970	319186
8970	319181
8970	319179
8970	319188
8970	319184
8970	319180
8970	319183
8970	68024
8970	78303
8970	319187
8970	319185
7559	57782
7559	231866
117579	212108
393046	258649
393046	258270
393046	258650
393046	258648
91584	18845
91584	243743
728400	384701
728400	381944
728400	13531
728400	13532
728400	625530
9748	20874
9748	20874
79748	235416
114327	71877
26019	326622
493860	211936
89910	117146
89910	117146
8809	16182
1053	110794
5576	19088
5576	19087
3578	16198
84929	98970
84929	76293
5328	18792
113402	106489
113402	108735
80323	381175
170392	18302
23671	56363
100287144	384701
100287144	381944
100287144	13531
100287144	13532
100287144	625530
11182	227659
1973	13681
124808	52715
10218	654812
441518	553127
441518	66158
441518	72865
1847	240672
259282	665775
26052	13429
26052	13430
26052	13430
26052	103967
26052	103967
26052	103967
9848	71306
148423	66421
25794	14086
25794	238021
79683	224454
79683	224454
79683	208884
79683	208884
85415	52428
10767	56422
10767	56422
1633	13178
390264	259110
390264	259112
390264	259109
10107	22670
10107	19824
10107	19824
25805	68010
118487	66121
55904	69188
53942	53870
53942	18488
53942	269784
53942	244682
124961	193043
2866	233080
79017	110175
56171	627872
56171	381917
56171	227058
56171	100101919
56171	110083
51068	97112
169200	100201
23059	76779
143282	72514
29893	19183
134430	225348
9890	229791
51676	65256
1958	13653
30851	76281
11201	26447
10471	14976
85236	319186
85236	319181
85236	319179
85236	319188
85236	319184
85236	319180
85236	319183
85236	68024
85236	78303
85236	319187
85236	319185
27152	380614
3290	15483
145482	77219
2908	14815
192669	214150
4992	258859
10333	21897
10333	21899
5979	19713
10284	100041953
10284	20220
93587	108943
7305	22177
6647	20655
2091	237730
2091	14113
5959	19682
4057	17002
81168	259019
81168	404325
81168	259082
728386	384701
728386	381944
728386	13531
728386	13532
728386	625530
100287478	384701
100287478	381944
100287478	13531
100287478	13532
100287478	625530
84779	97243
84779	56292
5577	19088
5577	19087
6166	19982
6166	66483
2039	13829
3788	16539
57786	57782
57786	231866
9392	73122
442425	64290
442425	14240
1609	110524
11185	21743
11185	18113
51251	107569
51251	68106
728379	384701
728379	381944
728379	13531
728379	13532
728379	625530
79845	68867
3234	15437
152330	53870
152330	18488
152330	269784
152330	244682
84690	380709
9563	100198
9563	100198
7125	21925
4654	17927
56660	217826
56660	210741
84138	66432
7263	22117
7263	246221
84079	245886
153241	225523
390882	258515
390882	258249
390882	258559
390882	258516
390882	259070
390882	258557
152110	674895
26492	258607
26492	258606
57466	224432
81545	107035
64211	16869
64211	16873
56132	93892
56132	93891
56132	93890
56132	93873
56132	93886
56132	93889
56132	93874
51499	69076
4811	18073
51019	67282
94005	276846
127255	74435
56164	77485
160	11771
254187	78306
83637	52915
11227	241391
23654	140570
7351	22228
81833	67652
8933	553127
8933	66158
8933	72865
56126	93892
56126	93891
56126	93890
56126	93873
56126	93886
56126	93889
56126	93874
55909	57784
283652	317750
4242	17305
728419	384701
728419	381944
728419	13531
728419	13532
728419	625530
10568	20531
148479	230936
3892	100126226
3892	64818
3892	16679
6738	20822
10628	56338
3131	217082
414328	75731
373156	76263
83451	68758
11273	233871
283130	107375
51564	56233
79872	104836
80119	208084
3091	15251
10155	21849
57188	77739
57188	77739
57188	269959
54797	67219
8785	17183
4547	17777
3301	15502
283694	258657
283694	258659
283694	258487
81566	207785
135941	258649
135941	258270
135941	258650
135941	258648
100287238	384701
100287238	381944
100287238	13531
100287238	13532
100287238	625530
11254	56774
64375	22781
2281	14226
25943	228602
23192	66615
3017	319186
3017	319181
3017	319179
3017	319188
3017	319184
3017	319180
3017	319183
3017	68024
3017	78303
3017	319187
3017	319185
4644	17918
4644	17918
9564	12927
51070	66394
8915	12042
3850	77055
9649	241308
84440	268451
84440	268451
105369274	258657
105369274	258659
105369274	258487
57498	77480
26648	258552
26648	258554
26648	18315
26648	258550
26648	258553
10117	13801
56603	232174
283417	320752
283417	320752
283417	244745
3673	16398
56776	54418
29945	52206
9318	12848
56127	93892
56127	93891
56127	93890
56127	93873
56127	93886
56127	93889
56127	93874
2878	14778
10382	22151
10382	227613
10382	73710
10382	22153
10382	22154
1452	93687
100529097	19982
100529097	66483
23281	77521
9317	19212
118663	330660
100287178	384701
100287178	381944
100287178	13531
100287178	13532
100287178	625530
3889	100126226
3889	64818
3889	16679
135886	76629
143630	244179
10887	246313
10887	58182
5563	108079
57226	108755
1759	13429
1759	13430
1759	13430
1759	103967
1759	103967
1759	103967
25978	68942
55726	71177
2696	381853
84688	73721
83953	64435
201475	19328
221395	224792
28988	13169
8464	109115
8464	109115
100526761	74434
9398	630146
60437	381409
400954	237711
400954	319670
9829	72685
9829	72685
285362	58911
285362	58911
135152	280645
57103	319801
148304	319266
392843	231045
256815	70909
8087	14359
79770	69672
257019	242506
158866	108672
158866	108672
440503	66968
57169	98999
84419	433470
10038	11546
118461	100504518
5810	19355
10057	27416
84624	68655
3882	16670
56985	66358
10948	59045
4885	53324
5927	214899
548313	387586
548313	436188
548313	631002
548313	67985
548313	668976
548313	278174
548313	387131
548313	382206
548313	546263
548313	385338
548313	546268
548313	387132
548313	625480
548313	385312
548313	387284
6193	20103
79004	67116
150290	75219
440560	665943
440560	77632
440560	665290
440560	329984
440560	100041354
440560	320549
8660	384783
8675	228960
3196	21909
5341	56193
3119	14961
1662	77591
245812	66455
51382	73834
64376	67143
56667	17063
645425	665943
645425	77632
645425	665290
645425	329984
645425	100041354
645425	320549
26523	236511
4760	18012
1760	13400
136242	67690
28964	216963
727837	387586
727837	436188
727837	631002
727837	67985
727837	668976
727837	278174
727837	387131
727837	382206
727837	546263
727837	385338
727837	546268
727837	387132
727837	625480
727837	385312
727837	387284
158297	75811
158326	329872
221322	544696
221322	544696
51087	53422
51087	53422
51166	23923
6787	23955
90060	54648
23012	232533
339344	232934
6862	20997
84188	67420
84188	330450
84188	330450
1311	12845
4853	18129
28984	66214
84634	114229
22987	75209
6843	22317
29946	170742
51360	270669
9342	67474
5147	18582
1463	13004
403314	71281
4841	53610
340120	218440
55103	78255
127059	258443
127059	258458
143384	78832
7867	102626
9683	80750
24149	57908
342945	232878
5042	18458
133746	57748
55010	75317
6881	24075
54893	233315
55315	71279
5876	19352
118427	229759
246213	216227
1871	13557
1871	13557
2046	13842
260425	99470
6482	20442
51729	60321
11041	108902
59335	381359
26166	626596
8637	108112
6646	20652
7168	22003
10570	26757
55748	66054
9403	93684
4487	17702
4487	17701
127253	209584
23023	330401
55148	66622
23214	74204
144608	320135
79364	80292
645414	665943
645414	77632
645414	665290
645414	329984
645414	100041354
645414	320549
1998	69257
10620	56380
3702	16428
3702	16428
5144	238871
5144	238871
5144	238871
5144	238871
5144	18578
2524	14344
2524	56546
55037	69956
57172	215303
8100	21821
391196	258443
391196	258458
2026	13807
388531	243923
2308	56458
2844	338346
7286	22156
81928	252966
9841	268294
8036	56392
80233	71885
92312	72640
11218	53975
3184	11991
116135	218763
58497	229589
284615	545554
285966	232748
95	109652
65990	214917
3037	15117
138805	258857
28976	229211
5657	50701
5657	19152
50624	16433
57223	104570
55206	243272
6777	20850
143686	75747
284695	54367
22866	245684
1991	50701
1991	19152
10254	56324
5900	19730
64802	66454
64802	66454
645359	665943
645359	77632
645359	665290
645359	329984
645359	100041354
645359	320549
83861	66832
83861	100037282
197320	22688
7353	22230
3950	16841
60436	228839
27128	72318
343071	665943
343071	77632
343071	665290
343071	329984
343071	100041354
343071	320549
29766	50875
2532	13349
6004	19734
9399	69106
130367	433323
9880	320080
114112	232223
1005	241201
10575	12464
84891	332221
115019	320718
2720	12091
10788	544963
9734	79221
9734	79221
284498	102634746
284498	102634746
375056	338366
22795	18074
130507	68795
10466	238123
10466	238123
79971	68151
51367	117109
6464	20416
342667	217154
117286	234421
6538	243616
257202	75512
56901	407790
1465	13007
27347	53416
54948	94063
252995	384061
252995	384061
1834	666279
165324	217379
6623	20618
5010	18417
7051	21816
441871	665943
441871	77632
441871	665290
441871	329984
441871	100041354
441871	320549
122665	78416
79697	71952
90993	26427
4055	17000
285588	69306
6891	21355
285659	18356
123722	244091
79613	272538
79812	105450
1353	69802
57120	94221
80896	74091
57404	77951
55854	69082
3206	15395
11135	104445
4582	17829
51441	213541
50964	74499
51122	52245
21	27410
65122	665943
65122	77632
65122	665290
65122	329984
65122	100041354
65122	320549
25844	28064
343070	665943
343070	77632
343070	665290
343070	329984
343070	100041354
343070	320549
57613	74525
28962	14628
131583	224093
64762	381126
240	11689
219484	257916
10369	12300
390999	665943
390999	77632
390999	665290
390999	329984
390999	100041354
390999	320549
84343	12807
6756	387586
6756	436188
6756	631002
6756	67985
6756	668976
6756	278174
6756	387131
6756	382206
6756	546263
6756	385338
6756	546268
6756	387132
6756	625480
6756	385312
6756	387284
164633	192650
164633	140904
25797	70536
5587	18760
171222	22195
171222	100042355
51249	230657
56950	226830
440097	223843
56339	56335
3120	14961
3120	14961
5893	19365
2275	14201
10327	58810
391002	665943
391002	77632
391002	665290
391002	329984
391002	100041354
391002	320549
100507203	100504474
259266	12316
29882	99152
11149	23828
400736	665943
400736	77632
400736	665290
400736	329984
400736	100041354
400736	320549
51292	105446
23609	67027
127062	258443
127062	258458
153562	218518
101928601	75033
646862	381845
64838	64339
2717	11605
4061	17069
9240	70481
387700	240638
8484	14429
65992	77006
91694	244421
196385	56087
64699	140765
126308	208228
5550	19072
56147	116731
60684	320714
139221	245631
55139	52231
665	12177
23658	66373
10101	26426
10101	26425
7805	16792
7805	16792
90273	26368
90273	114871
90273	26436
26263	71999
112869	75565
83661	64381
81890	60507
11073	235559
84649	67800
22853	231876
80067	75763
400735	665943
400735	77632
400735	665290
400735	329984
400735	100041354
400735	320549
6601	68094
197	11625
1208	109791
55862	52665
81607	71740
130340	252903
155435	381626
162681	269033
22878	75964
23269	29808
55711	67420
55711	330450
55711	330450
9267	19157
145497	627607
1844	13537
3977	18414
3977	16880
55589	140780
56674	56786
150372	74039
65263	66194
9551	57423
2672	14581
401027	102637189
9020	53859
50640	67452
51704	64297
90850	213753
5430	20020
54971	53325
54971	53325
285848	433091
6900	21367
23582	17151
124925	20370
4660	329251
4660	329251
1959	13654
1959	13654
2956	17688
81876	76308
54456	83456
6772	20846
113220	16552
54849	23854
59341	63873
9169	72193
343	11833
51399	60409
5924	19418
134083	259069
134083	259068
134083	258463
134083	404337
134083	257971
134083	257888
134083	258464
134083	258462
134083	404336
134083	258459
134083	258461
134083	276865
134083	258027
134083	211472
134083	18307
134083	258460
134083	258465
7541	22666
9421	15110
7049	21814
57158	59091
64359	18230
651746	67434
7473	22415
2618	14450
3483	16005
10585	99011
1742	13385
55890	70355
10362	15353
203190	213469
3743	16495
113278	69698
342897	233038
80740	68468
2339	14272
219699	107449
440695	546801
374407	69387
83481	223650
203197	230279
316	11761
5630	19132
93134	77519
10053	11768
283189	258564
283189	258563
113263	170772
389434	70337
54829	66695
146059	68968
51265	213084
9772	71947
341116	69826
6442	20391
6484	20443
80006	66975
273	218038
55112	217935
6757	387586
6757	436188
6757	631002
6757	67985
6757	668976
6757	278174
6757	387131
6757	382206
6757	546263
6757	385338
6757	546268
6757	387132
6757	625480
6757	385312
6757	387284
80167	269423
80167	269423
222255	380753
50636	404545
7917	224727
7917	224727
4688	17970
148738	69585
89927	67254
645382	665943
645382	77632
645382	665290
645382	329984
645382	100041354
645382	320549
7920	193742
759	12346
54811	77519
10007	26384
55166	83815
6490	20431
146223	97487
2036	13821
1846	319520
4795	18038
57335	192651
6445	24052
6445	244431
6445	24053
5618	19116
113675	231691
113675	257635
6929	21423
7332	22195
7332	100042355
55680	70432
26693	18356
84868	171285
257019	242506
257019	228564
152006	73469
118442	436090
23145	243369
3609	16201
55740	13800
55831	66087
23012	232533
3423	15931
9355	16870
127534	14621
128360	258224
684	69550
83394	327958
23746	114230
5144	238871
5144	18578
56961	20420
10529	74103
55237	432677
85379	243219
10527	233726
6777	20851
23361	320683
284498	102634746
22997	235086
54531	70427
257202	75512
23338	76901
23338	76901
285659	258334
57616	243931
9208	16978
153572	16372
3645	23920
11154	11782
27086	108655
4986	18387
55833	68926
1742	13385
51010	66362
147700	232943
2323	14256
80070	223838
865	12400
222255	380753
7920	193742
2036	13821
128387	68972
55607	243725
9759	208727
26693	258334
493829	434246
9934	140795
3162	15368
2634	14469
10213	59029
84933	75758
664	12176
1389	232430
113146	66395
100128553	338320
93129	269999
1036	12583
388963	71837
27175	103733
51805	230027
23011	216344
10225	84544
30811	26559
114788	329942
28998	68537
89832	11441
4236	67532
4236	100034361
1269	12802
6599	20588
129868	666731
129868	666747
89891	71820
140838	67311
78999	225875
2635	14469
56996	83704
56996	83704
309	11749
390059	258961
5685	26441
81579	66350
441911	258881
6767	70356
728279	100041488
728279	71453
728279	100041412
136288	626870
100533106	75758
10079	11981
4149	17187
6713	20775
259291	353165
259291	387348
259295	353165
259295	387348
54733	72022
730	230558
28987	67619
26049	320557
3265	15461
84464	52864
79874	70314
26520	30056
1522	64138
729384	666731
729384	666747
1595	13121
79875	207596
54995	71147
26494	258604
26494	258605
343472	104382
2166	14073
79026	66395
2954	14874
2954	14874
8000	72373
317701	665525
317701	171241
317701	171239
317701	100042437
317701	171238
317701	171234
317701	171224
317701	628946
317701	171232
317701	252910
317701	171235
317701	628580
317701	171236
317701	171227
4200	109264
10006	329165
283116	666731
283116	666747
9143	20974
3188	56258
3188	59013
284417	330460
10152	329165
7260	380752
79925	320277
8821	234515
7283	103733
391121	258881
55664	67072
2957	83602
3109	15000
3109	14999
219875	258601
4507	66902
55693	244694
64714	18453
170370	105511
8288	13861
55898	101869
11093	279028
6648	20656
56034	54635
84298	66225
2633	14469
22861	195046
79594	68350
55316	237926
388364	66601
4701	66416
259293	353165
259293	387348
259290	353165
259290	387348
3187	56258
3187	59013
259292	353165
259292	387348
22917	22786
55366	107515
54346	381058
54346	667055
825	12335
825	12335
9377	12858
4259	66447
63973	11924
84502	319984
158219	69863
321	11784
5523	235542
1562	13095
1562	72082
1562	404195
1562	72303
1621	13166
57458	319880
128239	404710
9181	16800
5211	18641
114784	329942
7404	22290
132204	20977
83666	80285
64478	329942
56894	28169
10873	109264
392465	69824
5095	110821
25816	106869
25816	106869
84448	231148
10087	68018
5532	19055
5532	19056
5368	18155
55860	56444
10507	20354
30836	99480
8798	101320
317702	665525
317702	171241
317702	171239
317702	100042437
317702	171238
317702	171234
317702	171224
317702	628946
317702	171232
317702	252910
317702	171235
317702	628580
317702	171236
317702	171227
732	230558
8714	17250
8714	27421
92935	212679
3628	16329
2483	14300
2483	14300
390245	244694
23251	209743
51347	330177
5034	18453
1139	11441
79813	77683
79813	77683
80235	239827
9060	23972
3034	15109
79917	54634
340485	230379
5991	19725
5794	545902
729	230558
80127	72873
55662	319594
84435	52389
257397	66724
7157	22059
9027	93673
9027	100504710
9027	93674
9027	69049
9027	68396
221833	320145
221833	381373
60526	68832
6370	20300
7292	22164
2023	13806
2023	13806
2023	433182
90	11477
56652	226153
51024	66437
2862	208188
2850	14761
2634	14468
55133	78586
55190	71207
55190	58242
55190	102954
11163	71207
11163	58242
11163	102954
5319	18778
150472	226043
254394	71567
254394	71567
254394	71567
254394	71567
79137	227298
113146	100041194
135154	68002
146754	327954
27293	100340
27175	103768
5571	19082
80347	71743
7862	78783
4602	17863
114770	57757
117	11517
140873	320095
3431	100041057
3431	677525
3431	546061
3431	109032
3431	102633783
3431	102638047
3431	624083
64926	320484
861	12394
951	12493
112268393	97476
5188	229487
5188	229487
474344	231931
114788	329942
114788	239420
114788	94109
114788	94109
2853	436440
23507	433926
9466	50931
23767	71436
129868	547109
445571	226043
257177	75472
55344	403178
55344	403178
2635	14468
642623	546118
85021	19707
5800	19277
441911	258880
4129	17161
4129	109731
728279	100502803
729991	72368
54442	69259
5868	271457
55690	107975
85464	237860
85464	237860
6440	20389
5817	52118
392390	258656
54733	215085
730	230558
730	12279
730	109828
730	110382
730	12274
57446	29812
9559	30930
26049	320557
203245	71254
5407	18946
144193	71761
220869	226043
5711	66998
729384	547109
84902	72140
8812	12454
26494	258823
26494	258086
26494	258603
144132	77505
131920	100043057
254973	258656
9522	107767
79026	100041194
3910	16775
317701	100312476
317701	171267
317701	171237
317701	171240
317701	171264
317701	171263
317701	100312477
317701	171225
317701	252904
317701	171230
317701	171226
317701	171228
317701	171265
317701	171244
317701	171233
317701	100312470
317701	171243
317701	171229
317701	252905
317701	108168698
4200	17436
4200	107029
91057	68201
10006	11308
4128	17161
4128	109731
283116	547109
5788	19264
7475	22420
7475	22420
27115	29863
10152	11308
676	114642
55138	97476
8821	234515
26	76507
7283	103768
23031	546071
23031	546071
401207	77422
391121	258880
112268390	97476
23443	229782
9410	66585
6683	50850
94056	67043
79658	78514
84080	102124
57451	23964
57451	23964
57451	23965
57451	23965
8433	22286
1902	14745
4671	17940
4671	17951
4671	17951
4671	17948
4671	17952
59285	54378
27006	67112
634	26367
634	26365
64714	69191
23268	71972
6727	20813
2633	14468
493901	497106
22861	195046
22861	637515
1016	320865
57176	68915
170685	71207
170685	58242
170685	102954
7071	21847
9261	17164
1493	12477
9556	102635650
9556	70257
973	12518
64218	20351
63925	329559
84133	407821
120400	78252
8693	14426
139341	72018
3898	16763
388649	76421
1562	13097
1562	13096
1562	13098
1562	107141
1562	69888
58517	67039
23620	18217
57458	319880
26960	80877
26960	26422
26960	26422
85302	217335
88455	68420
9181	16800
9181	16800
3682	16407
114784	329942
114784	239420
114784	94109
114784	94109
7404	22289
644019	226043
132204	72003
64478	329942
64478	239420
64478	94109
64478	94109
117166	215001
23446	100434
284403	233064
56894	68262
10873	17436
10873	107029
50632	68566
23007	269437
25816	106869
286053	68501
25855	107392
10087	68018
5532	19057
8411	216238
23276	270201
3787	16538
23140	195018
23140	195018
23140	195018
57697	104806
317702	100312476
317702	171267
317702	171237
317702	171240
317702	171264
317702	171263
317702	100312477
317702	171225
317702	252904
317702	171230
317702	171226
317702	171228
317702	171265
317702	171244
317702	171233
317702	100312470
317702	171243
317702	171229
317702	252905
317702	108168698
732	230558
732	12279
732	109828
732	110382
732	12274
8714	76408
10935	11757
7114	19241
26133	56407
26153	668303
23193	14376
253512	20523
253512	67554
8408	22241
55573	321022
56914	57329
5034	69191
85301	373864
85301	373864
112268391	97476
10926	27214
4680	26367
4680	26365
1176	11777
9948	22388
23759	66053
2334	14266
5991	19726
729	230558
729	12279
729	109828
729	110382
729	12274
64223	56716
9113	16798
112268395	97476
9027	75541
9027	66116
9027	100043497
283576	238331
7536	22668
6370	20300
284904	103655
7454	22376
51156	217847
79713	101883
3098	15275
3098	15275
2248	14174
85012	594844
55176	53421
55176	57743
28981	12589
3454	15975
6293	224705
6293	224705
55750	69923
122416	74251
3202	15402
7030	209446
56944	99543
7547	22772
1777	13423
9935	16658
9935	17132
129563	208718
286	11733
6668	78912
7401	229320
7565	619331
7565	232854
5829	19303
84107	22774
79674	72789
255758	66061
2801	99412
22974	72119
5985	72151
79991	108689
11258	53598
107987490	100039227
107987490	100039293
1181	12724
5645	103964
5645	22072
5645	436523
5645	22073
5645	114228
80344	28199
29927	53421
29927	57743
92595	233893
92595	269997
92595	101604
107987488	100039227
107987488	100039293
8661	13669
340543	594844
7546	22772
10886	104443
55072	268749
6619	77634
64184	219026
54556	71777
2975	233863
6494	20469
30850	237988
389840	270672
389840	26408
1499	12387
11189	319586
11189	78784
10535	69724
7003	21676
595	12444
10576	12461
8195	59030
9891	77976
80176	74646
29103	66148
79370	66813
79370	66813
7181	22025
8614	20856
84504	14912
100506144	100039968
50613	244178
284309	619331
284309	232854
79002	68544
23676	66106
25776	73739
8326	14371
8326	93897
5929	213464
9792	58172
6786	20866
26333	259074
26333	259044
26333	259042
339345	378430
4884	18164
140823	67067
1420	12964
10773	241322
282775	259012
54480	100910
25876	70997
54968	70397
5806	19288
2220	14133
2220	14134
8993	21946
1821	13497
3884	16660
5706	67089
730051	619331
730051	232854
51388	66164
200539	78321
7224	22066
93034	70881
51163	83703
23708	14853
79993	74559
10422	98766
1938	13629
1584	13072
1584	110115
402317	258366
402317	18346
402317	258647
9481	74011
63874	105501
6916	21391
219429	258897
219429	258898
171568	78929
79738	71769
83595	20680
348327	619331
348327	232854
9730	321006
3755	241794
3755	66733
5646	103964
5646	22072
5646	436523
5646	22073
5646	114228
1373	227231
11319	70601
221656	218214
3382	15893
440829	435145
51657	76571
54898	54326
9743	330914
7109	216131
7188	22033
894	12444
144108	101685
85313	67418
4673	53605
9091	14755
116535	211577
92170	212508
64066	234911
9971	20186
5225	109820
116071	74481
645974	668382
1349	78174
55287	94346
6540	14412
79447	67278
51134	77048
388015	353326
8927	12217
117608	21408
144124	259035
403284	258281
403284	258375
403284	258537
403284	258929
403284	258541
138716	69961
28977	67270
136647	633057
27301	77622
341276	259035
256472	381199
8482	20361
83401	12686
284827	268905
284827	69661
284827	16699
284827	69696
11010	544736
85364	67917
215	11666
55759	57750
623	12061
7592	100502710
9831	78834
170712	78174
148022	106759
84875	671535
3674	16399
256710	544736
343099	73254
161753	382075
55615	109270
160335	278279
2904	14812
64215	13418
374977	381538
30819	80906
124359	75796
161	11772
161	11772
3709	16439
3709	16439
51104	226016
25771	223754
286410	76295
286410	320940
286410	320940
286410	50770
23169	70484
23169	242585
114907	67731
85329	56072
